Behaviour,Round,total100,total90,total75,total50
WANDERING,0,-1,1999,827,377
GREEDY,0,1119,1118,272,90
FRONTIER,0,250,249,72,47
GREEDY_FRONTIER,0,-1,1999,80,52
FRONTIER_ASSIST,0,166,165,72,48
SCOUT,0,110,109,74,50
FRONTIER_CENTRAL_GREEDY,0,90,89,73,49
ZONE_SPLIT,0,196,195,106,55
ZONE_VORONOI,0,99,98,69,49
WANDERING,1,-1,1999,1925,753
GREEDY,1,1221,1220,946,207
FRONTIER,1,223,222,177,53
GREEDY_FRONTIER,1,152,151,126,96
FRONTIER_ASSIST,1,193,192,147,53
SCOUT,1,100,99,70,47
FRONTIER_CENTRAL_GREEDY,1,150,149,79,63
ZONE_SPLIT,1,324,323,151,71
ZONE_VORONOI,1,185,184,135,69
WANDERING,2,-1,1999,801,282
GREEDY,2,-1,1999,916,107
FRONTIER,2,104,103,77,49
GREEDY_FRONTIER,2,129,128,79,51
FRONTIER_ASSIST,2,104,103,77,49
SCOUT,2,130,129,95,68
FRONTIER_CENTRAL_GREEDY,2,86,85,65,50
ZONE_SPLIT,2,225,224,154,81
ZONE_VORONOI,2,103,102,72,51
WANDERING,3,-1,1999,912,510
GREEDY,3,380,379,294,95
FRONTIER,3,125,124,71,46
GREEDY_FRONTIER,3,139,138,76,51
FRONTIER_ASSIST,3,125,124,71,46
SCOUT,3,147,146,71,58
FRONTIER_CENTRAL_GREEDY,3,131,130,72,46
ZONE_SPLIT,3,-1,1999,146,60
ZONE_VORONOI,3,102,101,70,49
WANDERING,4,-1,1999,1283,618
GREEDY,4,-1,1999,629,114
FRONTIER,4,169,168,145,50
GREEDY_FRONTIER,4,106,105,76,50
FRONTIER_ASSIST,4,147,146,98,50
SCOUT,4,114,113,81,53
FRONTIER_CENTRAL_GREEDY,4,116,115,77,46
ZONE_SPLIT,4,198,197,114,80
ZONE_VORONOI,4,112,111,70,54
WANDERING,5,-1,1999,605,305
GREEDY,5,400,399,186,78
FRONTIER,5,89,88,65,45
GREEDY_FRONTIER,5,88,87,63,46
FRONTIER_ASSIST,5,89,88,65,45
SCOUT,5,131,130,76,49
FRONTIER_CENTRAL_GREEDY,5,93,92,66,52
ZONE_SPLIT,5,317,316,142,62
ZONE_VORONOI,5,119,118,67,46
WANDERING,6,-1,1999,1376,663
GREEDY,6,1005,1004,132,53
FRONTIER,6,146,145,97,44
GREEDY_FRONTIER,6,118,117,58,45
FRONTIER_ASSIST,6,146,145,97,44
SCOUT,6,125,124,97,56
FRONTIER_CENTRAL_GREEDY,6,112,111,67,48
ZONE_SPLIT,6,212,211,157,90
ZONE_VORONOI,6,104,103,74,53
WANDERING,7,-1,1999,1430,374
GREEDY,7,-1,1999,122,65
FRONTIER,7,104,103,72,51
GREEDY_FRONTIER,7,180,179,98,47
FRONTIER_ASSIST,7,104,103,72,51
SCOUT,7,147,146,92,45
FRONTIER_CENTRAL_GREEDY,7,118,117,86,57
ZONE_SPLIT,7,219,218,158,104
ZONE_VORONOI,7,136,135,62,46
WANDERING,8,-1,1999,541,264
GREEDY,8,-1,1999,490,62
FRONTIER,8,100,99,75,47
GREEDY_FRONTIER,8,116,115,66,48
FRONTIER_ASSIST,8,100,99,75,47
SCOUT,8,117,116,59,48
FRONTIER_CENTRAL_GREEDY,8,90,89,72,51
ZONE_SPLIT,8,144,143,104,77
ZONE_VORONOI,8,130,129,80,54
WANDERING,9,-1,1999,727,325
GREEDY,9,648,647,244,93
FRONTIER,9,110,109,68,46
GREEDY_FRONTIER,9,170,169,82,60
FRONTIER_ASSIST,9,116,115,68,46
SCOUT,9,96,95,71,52
FRONTIER_CENTRAL_GREEDY,9,114,113,76,53
ZONE_SPLIT,9,179,178,147,64
ZONE_VORONOI,9,90,89,66,48
WANDERING,10,-1,1999,1189,449
GREEDY,10,1226,1225,325,95
FRONTIER,10,125,124,98,55
GREEDY_FRONTIER,10,-1,1999,83,52
FRONTIER_ASSIST,10,130,129,96,55
SCOUT,10,164,163,127,72
FRONTIER_CENTRAL_GREEDY,10,107,106,75,58
ZONE_SPLIT,10,196,195,111,66
ZONE_VORONOI,10,132,131,76,55
WANDERING,11,-1,-1,1999,480
GREEDY,11,-1,-1,1999,268
FRONTIER,11,137,136,107,75
GREEDY_FRONTIER,11,153,152,114,68
FRONTIER_ASSIST,11,137,136,107,75
SCOUT,11,-1,-1,-1,1999
FRONTIER_CENTRAL_GREEDY,11,98,97,80,51
ZONE_SPLIT,11,223,222,120,77
ZONE_VORONOI,11,206,205,120,67
WANDERING,12,-1,1999,954,308
GREEDY,12,1555,1554,628,84
FRONTIER,12,124,123,91,50
