Behaviour,Round,total100,total90,total75,total50
WANDERING,0,1887,1886,850,477
GREEDY,0,307,306,177,72
FRONTIER,0,106,105,80,56
GREEDY_FRONTIER,0,110,109,81,60
FRONTIER_ASSIST,0,106,105,80,56
SCOUT,0,120,119,81,57
FRONTIER_CENTRAL_GREEDY,0,84,83,70,54
ZONE_SPLIT,0,111,110,79,62
ZONE_VORONOI,0,132,131,99,61
WANDERING,1,-1,1999,809,395
GREEDY,1,210,209,158,68
FRONTIER,1,155,154,107,60
GREEDY_FRONTIER,1,102,101,80,58
FRONTIER_ASSIST,1,136,135,108,60
SCOUT,1,253,252,124,75
FRONTIER_CENTRAL_GREEDY,1,120,119,95,57
ZONE_SPLIT,1,128,127,91,68
ZONE_VORONOI,1,182,181,109,61
WANDERING,2,-1,1999,746,336
GREEDY,2,534,533,257,174
FRONTIER,2,173,172,76,53
GREEDY_FRONTIER,2,93,92,78,63
FRONTIER_ASSIST,2,179,178,76,53
SCOUT,2,113,112,77,57
FRONTIER_CENTRAL_GREEDY,2,97,96,74,51
ZONE_SPLIT,2,318,317,128,81
ZONE_VORONOI,2,134,133,78,56
WANDERING,3,-1,1999,1736,681
GREEDY,3,235,234,137,87
FRONTIER,3,100,99,81,55
GREEDY_FRONTIER,3,102,101,79,59
FRONTIER_ASSIST,3,100,99,81,55
SCOUT,3,102,101,75,55
FRONTIER_CENTRAL_GREEDY,3,100,99,76,60
ZONE_SPLIT,3,208,207,120,63
ZONE_VORONOI,3,106,105,77,56
WANDERING,4,1233,1232,484,290
GREEDY,4,1480,1479,116,68
FRONTIER,4,130,129,82,51
GREEDY_FRONTIER,4,97,96,73,60
FRONTIER_ASSIST,4,130,129,82,51
SCOUT,4,295,294,159,56
FRONTIER_CENTRAL_GREEDY,4,108,107,69,53
ZONE_SPLIT,4,108,107,83,63
ZONE_VORONOI,4,118,117,79,54
WANDERING,5,1787,1786,450,252
GREEDY,5,477,476,130,81
FRONTIER,5,93,92,74,55
GREEDY_FRONTIER,5,104,103,78,55
FRONTIER_ASSIST,5,93,92,74,55
SCOUT,5,161,160,68,56
FRONTIER_CENTRAL_GREEDY,5,92,91,66,52
ZONE_SPLIT,5,134,133,85,64
ZONE_VORONOI,5,101,100,71,54
WANDERING,6,1632,1631,626,317
GREEDY,6,352,351,286,73
FRONTIER,6,102,101,82,59
GREEDY_FRONTIER,6,142,141,107,65
FRONTIER_ASSIST,6,118,117,81,60
SCOUT,6,145,144,106,65
FRONTIER_CENTRAL_GREEDY,6,92,91,75,58
ZONE_SPLIT,6,137,136,88,65
ZONE_VORONOI,6,97,96,70,56
WANDERING,7,1900,1899,1420,621
GREEDY,7,183,182,122,89
FRONTIER,7,108,107,90,62
GREEDY_FRONTIER,7,88,87,68,56
FRONTIER_ASSIST,7,108,107,90,62
SCOUT,7,132,131,93,59
FRONTIER_CENTRAL_GREEDY,7,94,93,80,58
ZONE_SPLIT,7,115,114,88,68
ZONE_VORONOI,7,116,115,87,57
WANDERING,8,-1,1999,476,283
GREEDY,8,833,832,768,127
FRONTIER,8,104,103,75,53
GREEDY_FRONTIER,8,95,94,77,56
FRONTIER_ASSIST,8,104,103,75,53
SCOUT,8,106,105,81,61
FRONTIER_CENTRAL_GREEDY,8,97,96,69,58
ZONE_SPLIT,8,92,91,78,60
ZONE_VORONOI,8,106,105,78,55
WANDERING,9,-1,1999,424,209
GREEDY,9,405,404,313,68
FRONTIER,9,102,101,65,50
GREEDY_FRONTIER,9,91,90,75,57
FRONTIER_ASSIST,9,102,101,65,50
SCOUT,9,97,96,76,60
FRONTIER_CENTRAL_GREEDY,9,99,98,68,50
ZONE_SPLIT,9,111,110,79,59
ZONE_VORONOI,9,91,90,74,55
WANDERING,10,-1,1999,778,287
GREEDY,10,954,953,750,56
FRONTIER,10,177,176,74,55
GREEDY_FRONTIER,10,114,113,72,54
FRONTIER_ASSIST,10,177,176,74,55
SCOUT,10,143,142,91,57
FRONTIER_CENTRAL_GREEDY,10,134,133,76,56
ZONE_SPLIT,10,162,161,100,76
ZONE_VORONOI,10,116,115,77,57
WANDERING,11,-1,1999,499,252
GREEDY,11,184,183,144,98
FRONTIER,11,131,130,91,56
GREEDY_FRONTIER,11,92,91,74,60
FRONTIER_ASSIST,11,131,130,91,56
SCOUT,11,167,166,95,62
FRONTIER_CENTRAL_GREEDY,11,112,111,94,60
ZONE_SPLIT,11,144,143,96,74
ZONE_VORONOI,11,125,124,79,55
WANDERING,12,-1,1999,551,352
GREEDY,12,191,190,110,66
FRONTIER,12,97,96,71,52
GREEDY_FRONTIER,12,93,92,76,57
FRONTIER_ASSIST,12,98,97,71,52
SCOUT,12,128,127,83,55
FRONTIER_CENTRAL_GREEDY,12,111,110,65,52
ZONE_SPLIT,12,145,144,90,67
ZONE_VORONOI,12,96,95,61,48
WANDERING,13,1514,1513,533,307
GREEDY,13,297,296,211,163
FRONTIER,13,114,113,70,49
GREEDY_FRONTIER,13,102,101,79,59
FRONTIER_ASSIST,13,114,113,70,49
SCOUT,13,144,143,85,58
FRONTIER_CENTRAL_GREEDY,13,92,91,69,50
ZONE_SPLIT,13,120,119,82,60
ZONE_VORONOI,13,122,121,85,56
WANDERING,14,-1,1999,965,412
GREEDY,14,370,369,307,89
FRONTIER,14,128,127,102,64
GREEDY_FRONTIER,14,127,126,98,70
FRONTIER_ASSIST,14,129,128,102,64
SCOUT,14,139,138,93,67
FRONTIER_CENTRAL_GREEDY,14,113,112,76,61
ZONE_SPLIT,14,137,136,89,64
ZONE_VORONOI,14,139,138,106,71
WANDERING,15,1504,1503,448,308
GREEDY,15,386,385,89,57
FRONTIER,15,112,111,74,53
GREEDY_FRONTIER,15,84,83,65,49
FRONTIER_ASSIST,15,112,111,74,53
SCOUT,15,112,111,89,58
FRONTIER_CENTRAL_GREEDY,15,85,84,71,56
ZONE_SPLIT,15,112,111,79,62
ZONE_VORONOI,15,92,91,74,55
