Behaviour,Round,total100,total90,total75,total50
WANDERING,0,1785,1784,1167,254
GREEDY,0,125,124,105,83
FRONTIER,0,254,253,95,63
GREEDY_FRONTIER,0,91,90,71,53
FRONTIER_ASSIST,0,188,187,99,63
SCOUT,0,116,115,73,54
FRONTIER_CENTRAL_GREEDY,0,105,104,72,52
ZONE_SPLIT,0,131,130,85,59
ZONE_VORONOI,0,82,81,68,54
WANDERING,1,-1,1999,816,343
GREEDY,1,199,198,166,102
FRONTIER,1,84,83,70,50
GREEDY_FRONTIER,1,95,94,81,58
FRONTIER_ASSIST,1,84,83,70,50
SCOUT,1,94,93,70,55
FRONTIER_CENTRAL_GREEDY,1,93,92,65,49
ZONE_SPLIT,1,107,106,74,53
ZONE_VORONOI,1,96,95,79,63
WANDERING,2,-1,1999,1787,591
GREEDY,2,749,748,716,93
FRONTIER,2,96,95,70,49
GREEDY_FRONTIER,2,88,87,69,50
FRONTIER_ASSIST,2,96,95,70,49
SCOUT,2,103,102,80,55
FRONTIER_CENTRAL_GREEDY,2,110,109,93,56
ZONE_SPLIT,2,101,100,82,55
ZONE_VORONOI,2,99,98,82,62
WANDERING,3,1346,1345,869,528
GREEDY,3,232,231,92,64
FRONTIER,3,107,106,91,53
GREEDY_FRONTIER,3,95,94,73,53
FRONTIER_ASSIST,3,107,106,91,53
SCOUT,3,99,98,79,56
FRONTIER_CENTRAL_GREEDY,3,116,115,73,56
ZONE_SPLIT,3,98,97,72,51
ZONE_VORONOI,3,99,98,70,54
WANDERING,4,-1,1999,1666,546
GREEDY,4,495,494,161,61
FRONTIER,4,107,106,90,75
GREEDY_FRONTIER,4,117,116,76,56
FRONTIER_ASSIST,4,107,106,90,75
SCOUT,4,96,95,78,51
FRONTIER_CENTRAL_GREEDY,4,100,99,89,70
ZONE_SPLIT,4,156,155,85,60
ZONE_VORONOI,4,109,108,86,63
WANDERING,5,-1,1999,503,329
GREEDY,5,171,170,131,73
FRONTIER,5,90,89,73,56
GREEDY_FRONTIER,5,76,75,63,50
FRONTIER_ASSIST,5,90,89,73,56
SCOUT,5,135,134,80,57
FRONTIER_CENTRAL_GREEDY,5,354,353,80,58
ZONE_SPLIT,5,187,186,72,52
ZONE_VORONOI,5,89,88,75,53
WANDERING,6,-1,1999,752,394
GREEDY,6,511,510,478,130
FRONTIER,6,111,110,93,56
GREEDY_FRONTIER,6,91,90,82,59
FRONTIER_ASSIST,6,111,110,93,56
SCOUT,6,105,104,69,56
FRONTIER_CENTRAL_GREEDY,6,110,109,65,53
ZONE_SPLIT,6,96,95,77,57
ZONE_VORONOI,6,85,84,74,58
WANDERING,7,-1,1999,925,285
GREEDY,7,683,682,186,140
FRONTIER,7,138,137,69,53
GREEDY_FRONTIER,7,97,96,72,54
FRONTIER_ASSIST,7,148,147,69,53
SCOUT,7,92,91,68,55
FRONTIER_CENTRAL_GREEDY,7,116,115,69,53
ZONE_SPLIT,7,91,90,73,53
ZONE_VORONOI,7,86,85,74,54
WANDERING,8,-1,1999,534,385
GREEDY,8,486,485,88,61
FRONTIER,8,83,82,65,52
GREEDY_FRONTIER,8,112,111,67,52
FRONTIER_ASSIST,8,83,82,65,52
SCOUT,8,166,165,145,80
FRONTIER_CENTRAL_GREEDY,8,107,106,69,54
ZONE_SPLIT,8,104,103,76,51
ZONE_VORONOI,8,83,82,65,51
WANDERING,9,-1,1999,1210,640
GREEDY,9,116,115,75,60
FRONTIER,9,98,97,68,54
GREEDY_FRONTIER,9,81,80,60,48
FRONTIER_ASSIST,9,98,97,68,54
SCOUT,9,112,111,78,58
FRONTIER_CENTRAL_GREEDY,9,79,78,68,48
ZONE_SPLIT,9,95,94,82,66
ZONE_VORONOI,9,94,93,74,62
WANDERING,10,1872,1871,492,275
GREEDY,10,122,121,89,68
FRONTIER,10,77,76,64,53
GREEDY_FRONTIER,10,79,78,60,50
FRONTIER_ASSIST,10,77,76,64,53
SCOUT,10,116,115,84,66
FRONTIER_CENTRAL_GREEDY,10,82,81,70,54
ZONE_SPLIT,10,96,95,79,61
ZONE_VORONOI,10,87,86,65,53
WANDERING,11,-1,1999,1089,319
GREEDY,11,404,403,208,54
FRONTIER,11,91,90,76,61
GREEDY_FRONTIER,11,127,126,77,52
FRONTIER_ASSIST,11,91,90,76,61
SCOUT,11,103,102,75,61
FRONTIER_CENTRAL_GREEDY,11,120,119,72,57
ZONE_SPLIT,11,116,115,90,63
ZONE_VORONOI,11,85,84,70,56
WANDERING,12,-1,1999,1901,637
GREEDY,12,246,245,89,52
FRONTIER,12,92,91,73,51
GREEDY_FRONTIER,12,89,88,74,55
FRONTIER_ASSIST,12,92,91,73,51
SCOUT,12,110,109,80,60
FRONTIER_CENTRAL_GREEDY,12,88,87,78,60
ZONE_SPLIT,12,98,97,73,53
ZONE_VORONOI,12,127,126,106,84
WANDERING,13,1364,1363,559,372
GREEDY,13,145,144,112,69
FRONTIER,13,112,111,73,52
GREEDY_FRONTIER,13,80,79,69,52
