Behaviour,Round,total100,total90,total75,total50
WANDERING,0,-1,1999,884,660
GREEDY,0,1062,1061,842,76
FRONTIER,0,162,161,133,49
GREEDY_FRONTIER,0,196,195,65,48
FRONTIER_ASSIST,0,162,161,133,49
SCOUT,0,167,166,128,41
FRONTIER_CENTRAL_GREEDY,0,132,131,74,43
ZONE_SPLIT,0,169,168,103,64
ZONE_VORONOI,0,94,93,64,43
WANDERING,1,-1,1999,887,514
GREEDY,1,385,384,75,51
FRONTIER,1,65,64,49,36
GREEDY_FRONTIER,1,118,117,59,43
FRONTIER_ASSIST,1,65,64,49,36
SCOUT,1,97,96,57,39
FRONTIER_CENTRAL_GREEDY,1,84,83,50,37
ZONE_SPLIT,1,135,134,109,49
ZONE_VORONOI,1,66,65,47,37
WANDERING,2,-1,1999,591,274
GREEDY,2,-1,1999,541,117
FRONTIER,2,81,80,50,36
GREEDY_FRONTIER,2,327,326,94,55
FRONTIER_ASSIST,2,81,80,50,36
SCOUT,2,115,114,59,39
FRONTIER_CENTRAL_GREEDY,2,121,120,55,42
ZONE_SPLIT,2,167,166,89,57
ZONE_VORONOI,2,86,85,50,36
WANDERING,3,1655,1654,1140,585
GREEDY,3,1492,1491,195,144
FRONTIER,3,129,128,84,55
GREEDY_FRONTIER,3,113,112,80,57
FRONTIER_ASSIST,3,185,184,86,58
SCOUT,3,110,109,70,45
FRONTIER_CENTRAL_GREEDY,3,72,71,60,47
ZONE_SPLIT,3,278,277,114,64
ZONE_VORONOI,3,103,102,72,46
WANDERING,4,-1,1999,946,452
GREEDY,4,802,801,566,55
FRONTIER,4,91,90,66,46
GREEDY_FRONTIER,4,100,99,74,43
FRONTIER_ASSIST,4,91,90,66,46
SCOUT,4,172,171,112,43
FRONTIER_CENTRAL_GREEDY,4,278,277,74,48
ZONE_SPLIT,4,144,143,123,69
ZONE_VORONOI,4,134,133,77,52
WANDERING,5,-1,1999,1661,1130
GREEDY,5,-1,1999,1369,96
FRONTIER,5,159,158,83,46
GREEDY_FRONTIER,5,130,129,87,54
FRONTIER_ASSIST,5,161,160,83,46
SCOUT,5,84,83,64,38
FRONTIER_CENTRAL_GREEDY,5,157,156,110,57
ZONE_SPLIT,5,342,341,129,95
ZONE_VORONOI,5,127,126,92,68
WANDERING,6,1844,1843,1424,417
GREEDY,6,-1,-1,1999,129
FRONTIER,6,90,89,64,51
GREEDY_FRONTIER,6,112,111,66,46
FRONTIER_ASSIST,6,90,89,64,51
SCOUT,6,77,76,60,35
FRONTIER_CENTRAL_GREEDY,6,80,79,57,45
ZONE_SPLIT,6,182,181,77,52
ZONE_VORONOI,6,83,82,63,40
WANDERING,7,-1,1999,481,332
GREEDY,7,1932,1931,270,56
FRONTIER,7,104,103,62,49
GREEDY_FRONTIER,7,83,82,65,45
FRONTIER_ASSIST,7,104,103,62,49
SCOUT,7,74,73,61,46
FRONTIER_CENTRAL_GREEDY,7,439,438,63,48
ZONE_SPLIT,7,303,302,141,68
ZONE_VORONOI,7,70,69,54,39
WANDERING,8,-1,1999,1386,471
GREEDY,8,437,436,67,48
FRONTIER,8,90,89,73,39
GREEDY_FRONTIER,8,88,87,51,40
FRONTIER_ASSIST,8,93,92,75,39
SCOUT,8,105,104,53,32
FRONTIER_CENTRAL_GREEDY,8,77,76,54,43
ZONE_SPLIT,8,-1,1999,92,67
ZONE_VORONOI,8,111,110,86,47
WANDERING,9,1744,1743,416,252
GREEDY,9,253,252,120,59
FRONTIER,9,79,78,57,42
GREEDY_FRONTIER,9,74,73,51,35
FRONTIER_ASSIST,9,79,78,57,42
SCOUT,9,87,86,55,38
FRONTIER_CENTRAL_GREEDY,9,64,63,49,37
ZONE_SPLIT,9,182,181,95,59
ZONE_VORONOI,9,92,91,56,37
WANDERING,10,1556,1555,469,296
GREEDY,10,108,107,59,34
FRONTIER,10,85,84,57,38
GREEDY_FRONTIER,10,70,69,45,30
FRONTIER_ASSIST,10,85,84,57,38
SCOUT,10,117,116,60,42
FRONTIER_CENTRAL_GREEDY,10,112,111,89,39
ZONE_SPLIT,10,177,176,96,59
ZONE_VORONOI,10,94,93,69,37
WANDERING,11,-1,-1,1999,1366
GREEDY,11,1077,1076,273,74
FRONTIER,11,126,125,81,58
GREEDY_FRONTIER,11,200,199,182,63
FRONTIER_ASSIST,11,126,125,81,53
SCOUT,11,119,118,80,52
FRONTIER_CENTRAL_GREEDY,11,355,354,67,50
ZONE_SPLIT,11,285,284,151,100
ZONE_VORONOI,11,206,205,153,73
WANDERING,12,-1,1999,577,328
GREEDY,12,294,293,116,37
FRONTIER,12,85,84,50,37
GREEDY_FRONTIER,12,76,75,54,31
FRONTIER_ASSIST,12,85,84,50,37
SCOUT,12,147,146,59,37
FRONTIER_CENTRAL_GREEDY,12,-1,1999,57,39
ZONE_SPLIT,12,207,206,97,68
ZONE_VORONOI,12,74,73,51,36
WANDERING,13,1775,1774,1169,328
GREEDY,13,166,165,87,53
FRONTIER,13,86,85,49,37
GREEDY_FRONTIER,13,97,96,53,41
FRONTIER_ASSIST,13,86,85,49,37
SCOUT,13,92,91,56,40
FRONTIER_CENTRAL_GREEDY,13,160,159,54,42
ZONE_SPLIT,13,219,218,90,56
ZONE_VORONOI,13,73,72,57,43
WANDERING,14,-1,1999,825,281
GREEDY,14,-1,1999,240,38
FRONTIER,14,94,93,64,46
GREEDY_FRONTIER,14,146,145,58,38
FRONTIER_ASSIST,14,98,97,70,46
SCOUT,14,88,87,60,40
FRONTIER_CENTRAL_GREEDY,14,79,78,50,38
ZONE_SPLIT,14,194,193,90,58
ZONE_VORONOI,14,81,80,58,40
WANDERING,15,1570,1569,699,433
GREEDY,15,189,188,87,47
FRONTIER,15,74,73,49,38
GREEDY_FRONTIER,15,99,98,51,39
FRONTIER_ASSIST,15,77,76,49,38
SCOUT,15,74,73,54,38
FRONTIER_CENTRAL_GREEDY,15,84,83,49,39
ZONE_SPLIT,15,151,150,90,55
ZONE_VORONOI,15,77,76,58,45
WANDERING,16,-1,1999,826,558
GREEDY,16,256,255,217,48
FRONTIER,16,93,92,69,47
GREEDY_FRONTIER,16,54,53,42,34
FRONTIER_ASSIST,16,93,92,69,47
SCOUT,16,96,95,48,32
FRONTIER_CENTRAL_GREEDY,16,164,163,85,64
ZONE_SPLIT,16,214,213,98,66
