Behaviour,Round,total100,total90,total75,total50
WANDERING,0,682,681,309,116
GREEDY,0,119,118,76,27
FRONTIER,0,44,43,35,27
GREEDY_FRONTIER,0,48,47,37,23
FRONTIER_ASSIST,0,44,43,35,27
SCOUT,0,47,46,38,28
FRONTIER_CENTRAL_GREEDY,0,-1,1999,37,27
ZONE_SPLIT,0,68,67,46,31
ZONE_VORONOI,0,48,47,35,27
WANDERING,1,931,930,262,167
GREEDY,1,78,77,62,38
FRONTIER,1,43,42,33,24
GREEDY_FRONTIER,1,44,43,33,24
FRONTIER_ASSIST,1,43,42,33,24
SCOUT,1,47,46,35,25
FRONTIER_CENTRAL_GREEDY,1,42,41,32,26
ZONE_SPLIT,1,81,80,50,32
ZONE_VORONOI,1,55,54,39,29
WANDERING,2,749,748,164,81
GREEDY,2,109,108,48,33
FRONTIER,2,39,38,30,22
GREEDY_FRONTIER,2,45,44,36,28
FRONTIER_ASSIST,2,39,38,30,22
SCOUT,2,44,43,33,23
FRONTIER_CENTRAL_GREEDY,2,38,37,27,22
ZONE_SPLIT,2,61,60,48,30
ZONE_VORONOI,2,55,54,33,23
WANDERING,3,548,547,257,130
GREEDY,3,80,79,60,39
FRONTIER,3,41,40,30,21
GREEDY_FRONTIER,3,50,49,37,29
FRONTIER_ASSIST,3,41,40,30,21
SCOUT,3,44,43,31,23
FRONTIER_CENTRAL_GREEDY,3,48,47,28,22
ZONE_SPLIT,3,62,61,41,32
ZONE_VORONOI,3,48,47,31,24
WANDERING,4,591,590,240,119
GREEDY,4,105,104,56,35
FRONTIER,4,49,48,38,29
GREEDY_FRONTIER,4,49,48,39,29
FRONTIER_ASSIST,4,49,48,38,29
SCOUT,4,49,48,35,24
FRONTIER_CENTRAL_GREEDY,4,47,46,38,26
ZONE_SPLIT,4,63,62,46,27
ZONE_VORONOI,4,53,52,39,27
WANDERING,5,460,459,179,122
GREEDY,5,165,164,87,31
FRONTIER,5,48,47,39,26
GREEDY_FRONTIER,5,44,43,32,21
FRONTIER_ASSIST,5,48,47,39,26
SCOUT,5,44,43,34,24
FRONTIER_CENTRAL_GREEDY,5,42,41,35,24
ZONE_SPLIT,5,116,115,59,30
ZONE_VORONOI,5,53,52,37,29
WANDERING,6,648,647,196,131
GREEDY,6,78,77,44,28
FRONTIER,6,42,41,33,26
GREEDY_FRONTIER,6,43,42,31,23
FRONTIER_ASSIST,6,42,41,33,26
SCOUT,6,45,44,35,24
FRONTIER_CENTRAL_GREEDY,6,42,41,32,24
ZONE_SPLIT,6,85,84,43,31
ZONE_VORONOI,6,53,52,45,27
WANDERING,7,937,936,349,191
GREEDY,7,133,132,85,62
FRONTIER,7,42,41,34,24
GREEDY_FRONTIER,7,62,61,41,33
FRONTIER_ASSIST,7,42,41,34,24
SCOUT,7,49,48,40,28
FRONTIER_CENTRAL_GREEDY,7,46,45,35,26
ZONE_SPLIT,7,314,313,59,31
ZONE_VORONOI,7,61,60,39,28
WANDERING,8,710,709,217,150
GREEDY,8,129,128,51,31
FRONTIER,8,41,40,31,22
GREEDY_FRONTIER,8,43,42,33,24
FRONTIER_ASSIST,8,41,40,31,22
SCOUT,8,44,43,32,23
FRONTIER_CENTRAL_GREEDY,8,54,53,34,24
ZONE_SPLIT,8,98,97,37,29
ZONE_VORONOI,8,51,50,29,22
WANDERING,9,1097,1096,214,107
GREEDY,9,143,142,61,36
FRONTIER,9,38,37,30,23
GREEDY_FRONTIER,9,53,52,36,29
FRONTIER_ASSIST,9,38,37,30,23
SCOUT,9,70,69,35,28
FRONTIER_CENTRAL_GREEDY,9,44,43,33,24
ZONE_SPLIT,9,74,73,40,31
ZONE_VORONOI,9,47,46,33,23
WANDERING,10,794,793,154,94
GREEDY,10,325,324,51,31
FRONTIER,10,54,53,31,21
GREEDY_FRONTIER,10,60,59,36,27
FRONTIER_ASSIST,10,47,46,31,21
SCOUT,10,48,47,35,23
FRONTIER_CENTRAL_GREEDY,10,47,46,32,21
ZONE_SPLIT,10,92,91,49,26
ZONE_VORONOI,10,40,39,29,21
WANDERING,11,517,516,161,91
GREEDY,11,219,218,76,58
FRONTIER,11,43,42,26,21
GREEDY_FRONTIER,11,55,54,42,29
FRONTIER_ASSIST,11,53,52,26,21
SCOUT,11,54,53,40,26
FRONTIER_CENTRAL_GREEDY,11,37,36,28,22
ZONE_SPLIT,11,75,74,56,28
ZONE_VORONOI,11,52,51,36,23
WANDERING,12,678,677,268,155
GREEDY,12,159,158,115,24
