Behaviour,Round,total100,total90,total75,total50
WANDERING,0,1811,1810,1027,453
GREEDY,0,171,170,141,101
FRONTIER,0,124,123,95,79
GREEDY_FRONTIER,0,123,122,107,85
FRONTIER_ASSIST,0,124,123,95,79
SCOUT,0,173,172,132,93
FRONTIER_CENTRAL_GREEDY,0,121,120,98,80
ZONE_SPLIT,0,129,128,99,81
ZONE_VORONOI,0,139,138,118,91
WANDERING,1,-1,1999,812,514
GREEDY,1,213,212,160,92
FRONTIER,1,125,124,104,81
GREEDY_FRONTIER,1,117,116,103,83
FRONTIER_ASSIST,1,125,124,104,81
SCOUT,1,153,152,125,94
FRONTIER_CENTRAL_GREEDY,1,129,128,110,81
ZONE_SPLIT,1,129,128,97,79
ZONE_VORONOI,1,133,132,109,82
WANDERING,2,-1,1999,716,402
GREEDY,2,350,349,238,157
FRONTIER,2,116,115,96,79
GREEDY_FRONTIER,2,123,122,102,83
FRONTIER_ASSIST,2,116,115,96,79
SCOUT,2,201,200,123,94
FRONTIER_CENTRAL_GREEDY,2,153,152,111,82
ZONE_SPLIT,2,127,126,101,81
ZONE_VORONOI,2,129,128,99,80
WANDERING,3,1967,1966,639,488
GREEDY,3,202,201,135,88
FRONTIER,3,127,126,109,91
GREEDY_FRONTIER,3,118,117,101,80
FRONTIER_ASSIST,3,127,126,109,91
SCOUT,3,167,166,128,96
FRONTIER_CENTRAL_GREEDY,3,121,120,105,87
ZONE_SPLIT,3,123,122,99,80
ZONE_VORONOI,3,136,135,110,84
WANDERING,4,-1,1999,1099,493
GREEDY,4,925,924,267,187
FRONTIER,4,114,113,95,79
GREEDY_FRONTIER,4,127,126,109,93
FRONTIER_ASSIST,4,114,113,95,79
SCOUT,4,169,168,126,99
FRONTIER_CENTRAL_GREEDY,4,117,116,97,80
ZONE_SPLIT,4,136,135,96,78
ZONE_VORONOI,4,134,133,105,81
WANDERING,5,-1,1999,1021,507
GREEDY,5,694,693,142,102
FRONTIER,5,136,135,103,80
GREEDY_FRONTIER,5,135,134,107,85
FRONTIER_ASSIST,5,136,135,103,80
SCOUT,5,162,161,122,93
FRONTIER_CENTRAL_GREEDY,5,146,145,101,79
ZONE_SPLIT,5,129,128,104,82
ZONE_VORONOI,5,129,128,103,82
WANDERING,6,-1,1999,852,557
GREEDY,6,164,163,133,106
FRONTIER,6,115,114,100,82
GREEDY_FRONTIER,6,112,111,95,78
FRONTIER_ASSIST,6,115,114,100,82
SCOUT,6,162,161,128,97
FRONTIER_CENTRAL_GREEDY,6,142,141,105,86
ZONE_SPLIT,6,130,129,97,80
ZONE_VORONOI,6,140,139,123,91
WANDERING,7,1951,1950,945,418
GREEDY,7,714,713,174,134
FRONTIER,7,149,148,111,79
GREEDY_FRONTIER,7,118,117,101,81
FRONTIER_ASSIST,7,149,148,111,79
SCOUT,7,162,161,130,102
FRONTIER_CENTRAL_GREEDY,7,114,113,100,81
ZONE_SPLIT,7,127,126,97,78
ZONE_VORONOI,7,146,145,112,91
WANDERING,8,-1,1999,963,557
GREEDY,8,735,734,572,213
FRONTIER,8,114,113,97,80
GREEDY_FRONTIER,8,129,128,113,92
FRONTIER_ASSIST,8,114,113,97,80
SCOUT,8,151,150,125,94
FRONTIER_CENTRAL_GREEDY,8,120,119,99,82
ZONE_SPLIT,8,128,127,98,78
ZONE_VORONOI,8,131,130,110,89
WANDERING,9,-1,1999,790,552
GREEDY,9,288,287,123,78
FRONTIER,9,138,137,107,80
GREEDY_FRONTIER,9,118,117,100,78
FRONTIER_ASSIST,9,138,137,107,80
SCOUT,9,158,157,131,100
FRONTIER_CENTRAL_GREEDY,9,153,152,101,85
ZONE_SPLIT,9,125,124,105,84
ZONE_VORONOI,9,135,134,106,84
WANDERING,10,-1,1999,1119,649
GREEDY,10,593,592,175,135
FRONTIER,10,134,133,97,80
GREEDY_FRONTIER,10,116,115,101,83
FRONTIER_ASSIST,10,134,133,97,80
SCOUT,10,200,199,134,101
FRONTIER_CENTRAL_GREEDY,10,115,114,99,81
ZONE_SPLIT,10,137,136,99,80
ZONE_VORONOI,10,140,139,107,85
WANDERING,11,-1,1999,880,384
GREEDY,11,213,212,183,143
FRONTIER,11,132,131,115,92
GREEDY_FRONTIER,11,139,138,112,92
FRONTIER_ASSIST,11,132,131,115,92
SCOUT,11,194,193,129,103
FRONTIER_CENTRAL_GREEDY,11,119,118,104,87
ZONE_SPLIT,11,121,120,100,81
ZONE_VORONOI,11,146,145,117,90
WANDERING,12,-1,1999,1161,714
GREEDY,12,557,556,225,198
FRONTIER,12,124,123,104,85
GREEDY_FRONTIER,12,118,117,105,87
FRONTIER_ASSIST,12,124,123,104,85
SCOUT,12,180,179,128,97
FRONTIER_CENTRAL_GREEDY,12,129,128,114,83
ZONE_SPLIT,12,134,133,111,84
ZONE_VORONOI,12,139,138,109,88
WANDERING,13,1908,1907,1174,525
GREEDY,13,358,357,305,222
FRONTIER,13,129,128,104,85
GREEDY_FRONTIER,13,138,137,111,90
FRONTIER_ASSIST,13,129,128,104,85
SCOUT,13,150,149,122,93
FRONTIER_CENTRAL_GREEDY,13,125,124,109,93
ZONE_SPLIT,13,130,129,103,83
ZONE_VORONOI,13,131,130,103,82
WANDERING,14,-1,1999,684,522
GREEDY,14,174,173,125,102
FRONTIER,14,122,121,94,77
GREEDY_FRONTIER,14,118,117,96,80
FRONTIER_ASSIST,14,122,121,94,77
SCOUT,14,169,168,126,100
FRONTIER_CENTRAL_GREEDY,14,124,123,95,78
ZONE_SPLIT,14,123,122,99,79
ZONE_VORONOI,14,137,136,106,83
WANDERING,15,-1,1999,763,549
GREEDY,15,141,140,101,81
FRONTIER,15,150,149,99,81
GREEDY_FRONTIER,15,119,118,97,80
FRONTIER_ASSIST,15,150,149,99,81
SCOUT,15,166,165,140,98
FRONTIER_CENTRAL_GREEDY,15,122,121,102,85
ZONE_SPLIT,15,131,130,101,80
ZONE_VORONOI,15,129,128,108,86
WANDERING,16,-1,1999,733,443
GREEDY,16,427,426,210,151
FRONTIER,16,123,122,97,80
GREEDY_FRONTIER,16,135,134,117,97
FRONTIER_ASSIST,16,123,122,97,80
SCOUT,16,168,167,128,98
FRONTIER_CENTRAL_GREEDY,16,129,128,105,81
ZONE_SPLIT,16,130,129,96,78
ZONE_VORONOI,16,135,134,103,83
WANDERING,17,-1,1999,907,517
GREEDY,17,251,250,165,118
FRONTIER,17,123,122,102,82
GREEDY_FRONTIER,17,121,120,102,84
FRONTIER_ASSIST,17,123,122,102,82
SCOUT,17,159,158,128,95
FRONTIER_CENTRAL_GREEDY,17,126,125,102,82
ZONE_SPLIT,17,124,123,103,83
ZONE_VORONOI,17,119,118,103,82
WANDERING,18,1695,1694,904,452
GREEDY,18,150,149,127,100
FRONTIER,18,126,125,105,80
GREEDY_FRONTIER,18,122,121,104,84
FRONTIER_ASSIST,18,126,125,105,80
SCOUT,18,181,180,125,97
FRONTIER_CENTRAL_GREEDY,18,122,121,105,81
ZONE_SPLIT,18,133,132,96,78
ZONE_VORONOI,18,134,133,107,83
WANDERING,19,-1,1999,785,397
GREEDY,19,124,123,102,82
FRONTIER,19,122,121,102,84
GREEDY_FRONTIER,19,114,113,96,78
FRONTIER_ASSIST,19,122,121,102,84
SCOUT,19,162,161,128,100
FRONTIER_CENTRAL_GREEDY,19,120,119,108,90
ZONE_SPLIT,19,126,125,101,78
ZONE_VORONOI,19,133,132,107,85
