Behaviour,Round,total100,total90,total75,total50
WANDERING,0,-1,-1,1999,1607
GREEDY,0,-1,1999,1091,373
FRONTIER,0,189,188,158,125
GREEDY_FRONTIER,0,159,158,135,106
FRONTIER_ASSIST,0,179,178,156,125
SCOUT,0,212,211,184,127
FRONTIER_CENTRAL_GREEDY,0,168,167,142,112
ZONE_SPLIT,0,205,204,121,90
ZONE_VORONOI,0,290,289,217,129
WANDERING,1,-1,1999,1721,947
GREEDY,1,-1,1999,812,600
FRONTIER,1,156,155,131,87
GREEDY_FRONTIER,1,177,176,130,91
FRONTIER_ASSIST,1,156,155,131,87
SCOUT,1,183,182,147,104
FRONTIER_CENTRAL_GREEDY,1,152,151,127,95
ZONE_SPLIT,1,205,204,137,96
ZONE_VORONOI,1,180,179,152,102
WANDERING,2,-1,-1,-1,1999
GREEDY,2,-1,1999,1075,317
FRONTIER,2,184,183,155,130
GREEDY_FRONTIER,2,202,201,158,115
FRONTIER_ASSIST,2,184,183,155,130
SCOUT,2,192,191,155,102
FRONTIER_CENTRAL_GREEDY,2,154,153,128,105
ZONE_SPLIT,2,207,206,120,95
ZONE_VORONOI,2,178,177,150,111
WANDERING,3,-1,-1,-1,1999
GREEDY,3,-1,1999,1317,289
FRONTIER,3,181,180,161,138
GREEDY_FRONTIER,3,223,222,162,103
FRONTIER_ASSIST,3,181,180,161,138
SCOUT,3,188,187,166,133
FRONTIER_CENTRAL_GREEDY,3,-1,1999,143,119
ZONE_SPLIT,3,183,182,123,99
ZONE_VORONOI,3,172,171,146,123
WANDERING,4,-1,-1,1999,1314
GREEDY,4,1185,1184,477,231
FRONTIER,4,142,141,106,74
GREEDY_FRONTIER,4,150,149,113,86
FRONTIER_ASSIST,4,142,141,106,74
SCOUT,4,164,163,110,85
FRONTIER_CENTRAL_GREEDY,4,141,140,101,79
ZONE_SPLIT,4,266,265,175,119
ZONE_VORONOI,4,130,129,108,86
WANDERING,5,-1,-1,1999,1073
GREEDY,5,-1,1999,969,393
FRONTIER,5,165,164,117,81
GREEDY_FRONTIER,5,278,277,115,79
FRONTIER_ASSIST,5,165,164,117,81
SCOUT,5,210,209,126,95
FRONTIER_CENTRAL_GREEDY,5,163,162,107,85
ZONE_SPLIT,5,194,193,111,84
ZONE_VORONOI,5,186,185,132,96
WANDERING,6,-1,1999,1245,642
GREEDY,6,-1,-1,1999,426
FRONTIER,6,133,132,101,76
GREEDY_FRONTIER,6,164,163,111,85
FRONTIER_ASSIST,6,133,132,101,76
SCOUT,6,170,169,109,82
FRONTIER_CENTRAL_GREEDY,6,157,156,101,78
