Behaviour,Round,total100,total90,total75,total50
WANDERING,0,667,666,317,212
GREEDY,0,81,80,62,44
FRONTIER,0,59,58,41,31
GREEDY_FRONTIER,0,61,60,48,35
FRONTIER_ASSIST,0,59,58,41,31
SCOUT,0,71,70,50,33
FRONTIER_CENTRAL_GREEDY,0,70,69,42,33
ZONE_SPLIT,0,117,116,99,56
ZONE_VORONOI,0,58,57,43,35
WANDERING,1,-1,1999,1009,159
GREEDY,1,231,230,94,47
FRONTIER,1,86,85,62,38
GREEDY_FRONTIER,1,77,76,55,37
FRONTIER_ASSIST,1,86,85,62,38
SCOUT,1,88,87,66,42
FRONTIER_CENTRAL_GREEDY,1,54,53,42,33
ZONE_SPLIT,1,158,157,112,58
ZONE_VORONOI,1,69,68,53,39
WANDERING,2,590,589,324,207
GREEDY,2,113,112,59,42
FRONTIER,2,65,64,46,37
GREEDY_FRONTIER,2,56,55,48,37
FRONTIER_ASSIST,2,65,64,46,37
SCOUT,2,60,59,47,36
FRONTIER_CENTRAL_GREEDY,2,82,81,47,33
ZONE_SPLIT,2,133,132,95,68
ZONE_VORONOI,2,67,66,50,39
WANDERING,3,981,980,391,191
GREEDY,3,143,142,108,84
FRONTIER,3,68,67,54,38
GREEDY_FRONTIER,3,58,57,46,36
FRONTIER_ASSIST,3,68,67,54,38
SCOUT,3,70,69,46,35
FRONTIER_CENTRAL_GREEDY,3,62,61,46,33
ZONE_SPLIT,3,239,238,142,75
ZONE_VORONOI,3,64,63,49,36
WANDERING,4,706,705,383,229
GREEDY,4,301,300,250,58
FRONTIER,4,63,62,48,36
GREEDY_FRONTIER,4,59,58,48,37
FRONTIER_ASSIST,4,63,62,48,36
SCOUT,4,69,68,51,35
FRONTIER_CENTRAL_GREEDY,4,57,56,48,38
ZONE_SPLIT,4,104,103,88,52
ZONE_VORONOI,4,75,74,54,36
WANDERING,5,1745,1744,341,158
GREEDY,5,270,269,91,42
FRONTIER,5,90,89,67,37
GREEDY_FRONTIER,5,65,64,55,38
FRONTIER_ASSIST,5,90,89,67,37
SCOUT,5,79,78,61,41
FRONTIER_CENTRAL_GREEDY,5,83,82,61,39
ZONE_SPLIT,5,93,92,66,50
ZONE_VORONOI,5,82,81,55,44
WANDERING,6,1095,1094,314,164
GREEDY,6,199,198,103,47
FRONTIER,6,58,57,43,31
GREEDY_FRONTIER,6,75,74,59,38
FRONTIER_ASSIST,6,58,57,43,31
SCOUT,6,75,74,55,37
FRONTIER_CENTRAL_GREEDY,6,82,81,44,32
ZONE_SPLIT,6,164,163,137,80
ZONE_VORONOI,6,61,60,47,37
WANDERING,7,1088,1087,438,170
GREEDY,7,77,76,47,34
FRONTIER,7,55,54,38,30
GREEDY_FRONTIER,7,54,53,43,34
FRONTIER_ASSIST,7,55,54,38,30
SCOUT,7,55,54,41,32
FRONTIER_CENTRAL_GREEDY,7,67,66,51,31
ZONE_SPLIT,7,115,114,86,64
ZONE_VORONOI,7,56,55,41,31
WANDERING,8,894,893,654,194
GREEDY,8,118,117,86,43
FRONTIER,8,54,53,40,31
GREEDY_FRONTIER,8,54,53,45,35
FRONTIER_ASSIST,8,54,53,40,31
SCOUT,8,67,66,47,34
FRONTIER_CENTRAL_GREEDY,8,53,52,41,32
ZONE_SPLIT,8,132,131,97,65
ZONE_VORONOI,8,63,62,42,31
WANDERING,9,1166,1165,469,173
GREEDY,9,137,136,71,37
FRONTIER,9,56,55,40,31
GREEDY_FRONTIER,9,55,54,43,33
FRONTIER_ASSIST,9,56,55,40,31
SCOUT,9,65,64,51,37
FRONTIER_CENTRAL_GREEDY,9,61,60,43,32
ZONE_SPLIT,9,138,137,112,71
ZONE_VORONOI,9,97,96,58,33
WANDERING,10,1235,1234,404,225
GREEDY,10,81,80,62,38
FRONTIER,10,57,56,44,32
GREEDY_FRONTIER,10,64,63,43,34
FRONTIER_ASSIST,10,58,57,46,32
SCOUT,10,79,78,53,34
FRONTIER_CENTRAL_GREEDY,10,53,52,39,31
ZONE_SPLIT,10,120,119,69,49
ZONE_VORONOI,10,61,60,41,32
WANDERING,11,986,985,240,147
GREEDY,11,169,168,75,53
FRONTIER,11,50,49,42,30
GREEDY_FRONTIER,11,64,63,50,37
FRONTIER_ASSIST,11,50,49,42,30
SCOUT,11,64,63,45,33
FRONTIER_CENTRAL_GREEDY,11,53,52,42,32
ZONE_SPLIT,11,144,143,114,61
ZONE_VORONOI,11,55,54,41,32
WANDERING,12,1020,1019,317,172
GREEDY,12,117,116,66,37
FRONTIER,12,55,54,40,29
GREEDY_FRONTIER,12,71,70,52,33
FRONTIER_ASSIST,12,55,54,40,29
SCOUT,12,67,66,43,34
FRONTIER_CENTRAL_GREEDY,12,75,74,39,31
ZONE_SPLIT,12,125,124,105,70
ZONE_VORONOI,12,64,63,45,33
WANDERING,13,810,809,441,248
GREEDY,13,677,676,78,56
FRONTIER,13,81,80,52,36
GREEDY_FRONTIER,13,66,65,54,41
FRONTIER_ASSIST,13,81,80,52,36
SCOUT,13,113,112,71,38
FRONTIER_CENTRAL_GREEDY,13,73,72,49,37
ZONE_SPLIT,13,125,124,105,76
ZONE_VORONOI,13,67,66,50,37
WANDERING,14,773,772,328,170
GREEDY,14,105,104,65,45
FRONTIER,14,49,48,38,30
GREEDY_FRONTIER,14,61,60,43,33
FRONTIER_ASSIST,14,49,48,38,30
SCOUT,14,58,57,48,35
FRONTIER_CENTRAL_GREEDY,14,55,54,40,31
ZONE_SPLIT,14,105,104,84,55
ZONE_VORONOI,14,63,62,44,32
WANDERING,15,694,693,345,247
GREEDY,15,75,74,55,37
FRONTIER,15,70,69,42,30
GREEDY_FRONTIER,15,52,51,42,33
FRONTIER_ASSIST,15,70,69,42,30
SCOUT,15,85,84,48,32
FRONTIER_CENTRAL_GREEDY,15,54,53,39,30
ZONE_SPLIT,15,111,110,95,67
ZONE_VORONOI,15,75,74,45,32
WANDERING,16,1203,1202,310,142
GREEDY,16,80,79,63,43
FRONTIER,16,47,46,38,31
GREEDY_FRONTIER,16,63,62,52,38
FRONTIER_ASSIST,16,47,46,38,31
SCOUT,16,80,79,48,36
FRONTIER_CENTRAL_GREEDY,16,53,52,41,31
ZONE_SPLIT,16,104,103,82,58
ZONE_VORONOI,16,65,64,44,35
WANDERING,17,-1,1999,342,192
GREEDY,17,185,184,68,41
FRONTIER,17,56,55,42,32
GREEDY_FRONTIER,17,55,54,44,33
FRONTIER_ASSIST,17,56,55,42,32
SCOUT,17,69,68,52,36
FRONTIER_CENTRAL_GREEDY,17,52,51,42,32
ZONE_SPLIT,17,130,129,98,58
ZONE_VORONOI,17,63,62,48,34
WANDERING,18,-1,1999,323,127
GREEDY,18,140,139,89,41
FRONTIER,18,62,61,42,32
GREEDY_FRONTIER,18,52,51,40,32
FRONTIER_ASSIST,18,62,61,42,32
SCOUT,18,75,74,51,34
FRONTIER_CENTRAL_GREEDY,18,77,76,62,36
ZONE_SPLIT,18,116,115,91,52
ZONE_VORONOI,18,67,66,50,33
WANDERING,19,1878,1877,476,159
GREEDY,19,191,190,62,42
FRONTIER,19,57,56,44,33
GREEDY_FRONTIER,19,60,59,46,37
FRONTIER_ASSIST,19,57,56,44,33
SCOUT,19,71,70,49,37
FRONTIER_CENTRAL_GREEDY,19,201,200,48,36
ZONE_SPLIT,19,136,135,91,73
ZONE_VORONOI,19,64,63,48,38
