Behaviour,Round,total100,total90,total75,total50
FRONTIER,0,282,281,252,212
FRONTIER,1,292,291,249,201
FRONTIER,2,305,304,251,211
FRONTIER,3,309,308,266,224
FRONTIER,4,281,280,246,206
FRONTIER,5,302,301,264,224
FRONTIER,6,281,280,236,196
FRONTIER,7,293,292,248,200
FRONTIER,8,272,271,241,201
FRONTIER,9,282,281,254,196
FRONTIER,10,277,276,246,205
FRONTIER,11,292,291,254,200
FRONTIER,12,275,274,248,208
FRONTIER,13,282,281,236,196
FRONTIER,14,312,311,237,197
FRONTIER,15,273,272,245,205
FRONTIER,16,278,277,250,203
FRONTIER,17,283,282,253,213
FRONTIER,18,289,288,243,203
FRONTIER,19,277,276,248,206
FRONTIER,20,285,284,246,196
FRONTIER,21,273,272,244,204
FRONTIER,22,280,279,245,205
FRONTIER,23,280,279,245,200
FRONTIER,24,275,274,241,196
FRONTIER,25,275,274,245,196
FRONTIER,26,282,281,246,196
FRONTIER,27,269,268,239,198
FRONTIER,28,282,281,244,203
FRONTIER,29,283,282,255,214
FRONTIER,30,279,278,252,204
FRONTIER,31,292,291,259,207
FRONTIER,32,284,283,256,207
FRONTIER,33,271,270,240,196
FRONTIER,34,298,297,243,203
FRONTIER,35,269,268,242,202
FRONTIER,36,289,288,243,198
FRONTIER,37,278,277,248,207
FRONTIER,38,280,279,242,196
FRONTIER,39,273,272,242,202
FRONTIER,40,289,288,255,215
FRONTIER,41,301,300,252,210
FRONTIER,42,279,278,236,196
FRONTIER,43,292,291,254,204
FRONTIER,44,276,275,249,199
FRONTIER,45,299,298,238,198
FRONTIER,46,281,280,250,210
FRONTIER,47,294,293,249,204
FRONTIER,48,282,281,250,199
FRONTIER,49,273,272,245,205
FRONTIER,50,277,276,245,196
FRONTIER,51,278,277,242,202
FRONTIER,52,275,274,244,204
FRONTIER,53,285,284,257,216
FRONTIER,54,271,270,242,197
FRONTIER,55,300,299,246,198
FRONTIER,56,294,293,259,199
FRONTIER,57,281,280,254,214
FRONTIER,58,318,317,244,204
FRONTIER,59,287,286,252,202
FRONTIER,60,286,285,242,196
FRONTIER,61,308,307,250,196
FRONTIER,62,293,292,245,205
FRONTIER,63,269,268,240,200
FRONTIER,64,284,283,251,196
FRONTIER,65,290,289,255,203
FRONTIER,66,294,293,242,196
FRONTIER,67,289,288,252,212
FRONTIER,68,285,284,250,202
FRONTIER,69,294,293,260,210
FRONTIER,70,272,271,236,196
FRONTIER,71,291,290,244,204
FRONTIER,72,286,285,236,196
FRONTIER,73,306,305,278,204
FRONTIER,74,272,271,243,203
FRONTIER,75,315,314,246,206
FRONTIER,76,318,317,258,204
FRONTIER,77,297,296,255,211
FRONTIER,78,270,269,242,202
FRONTIER,79,324,323,239,199
FRONTIER,80,280,279,253,211
FRONTIER,81,297,296,240,200
FRONTIER,82,283,282,236,196
FRONTIER,83,288,287,259,214
FRONTIER,84,295,294,266,199
FRONTIER,85,275,274,243,203
FRONTIER,86,288,287,254,208
FRONTIER,87,298,297,236,196
FRONTIER,88,280,279,246,206
FRONTIER,89,281,280,252,204
FRONTIER,90,290,289,243,199
FRONTIER,91,287,286,254,207
FRONTIER,92,281,280,244,204
FRONTIER,93,303,302,242,202
FRONTIER,94,307,306,252,206
FRONTIER,95,292,291,237,197
FRONTIER,96,274,273,239,199
FRONTIER,97,276,275,244,204
FRONTIER,98,282,281,251,211
FRONTIER,99,281,280,243,203
