,Behaviour,Round,total100,total90,total75,total50
0,WANDERING,0,0.3668272539573297,0.3661390227116311,0.15691672401927048,0.10392291810048176
1,GREEDY,0,0.08465244322092223,0.08396421197522368,0.04129387474191328,0.028905712319339298
2,FRONTIER,0,0.03303509979353063,0.03234686854783207,0.02339986235375086,0.018582243633860976
3,GREEDY_FRONTIER,0,0.04129387474191328,0.040605643496214726,0.030282174810736407,0.02202339986235375
4,FRONTIER_ASSIST,0,0.03303509979353063,0.03234686854783207,0.02339986235375086,0.018582243633860976
5,SCOUT,0,0.04679972470750172,0.04611149346180317,0.02615278733654508,0.01995870612525809
6,FRONTIER_CENTRAL_GREEDY,0,0.034411562284927734,0.03372333103922918,0.024088093599449415,0.01995870612525809
7,ZONE_SPLIT,0,0.043358568479008944,0.042670337233310394,0.029593943565037854,0.02339986235375086
8,ZONE_VORONOI,0,0.03303509979353063,0.03234686854783207,0.02477632484514797,0.017894012388162423
9,WANDERING,1,0.6875430144528561,0.6868547832071576,0.18651066758430832,0.10323468685478321
10,GREEDY,1,0.047487955953200274,0.04679972470750172,0.030970406056434963,0.02202339986235375
11,FRONTIER,1,0.03509979353062629,0.034411562284927734,0.02477632484514797,0.017205781142463867
12,GREEDY_FRONTIER,1,0.03372333103922918,0.03303509979353063,0.025464556090846524,0.01995870612525809
13,FRONTIER_ASSIST,1,0.03372333103922918,0.03303509979353063,0.02477632484514797,0.017205781142463867
14,SCOUT,1,0.040605643496214726,0.03991741225051618,0.03303509979353063,0.02202339986235375
15,FRONTIER_CENTRAL_GREEDY,1,0.04129387474191328,0.040605643496214726,0.022711631108052306,0.018582243633860976
16,ZONE_SPLIT,1,0.06125258086717137,0.060564349621472814,0.030970406056434963,0.02339986235375086
17,ZONE_VORONOI,1,0.038540949759119064,0.03785271851342051,0.025464556090846524,0.019270474879559532
18,WANDERING,2,0.6359256710254646,0.635237439779766,0.18857536132140398,0.10667584308327598
19,GREEDY,2,0.32553337921541636,0.3248451479697178,0.05299380591878871,0.026841018582243633
20,FRONTIER,2,0.034411562284927734,0.03372333103922918,0.026841018582243633,0.021335168616655197
21,GREEDY_FRONTIER,2,0.04198210598761184,0.04129387474191328,0.028905712319339298,0.022711631108052306
22,FRONTIER_ASSIST,2,0.034411562284927734,0.03372333103922918,0.026841018582243633,0.021335168616655197
23,SCOUT,2,0.040605643496214726,0.03991741225051618,0.028905712319339298,0.02202339986235375
24,FRONTIER_CENTRAL_GREEDY,2,0.03509979353062629,0.034411562284927734,0.028905712319339298,0.022711631108052306
25,ZONE_SPLIT,2,0.04679972470750172,0.04611149346180317,0.028217481073640742,0.022711631108052306
26,ZONE_VORONOI,2,0.05230557467309016,0.051617343427391604,0.030282174810736407,0.02339986235375086
27,WANDERING,3,0.5340674466620785,0.5333792154163799,0.1899518238128011,0.08878183069511356
28,GREEDY,3,0.06400550584996559,0.06331727460426703,0.038540949759119064,0.02477632484514797
29,FRONTIER,3,0.03372333103922918,0.03303509979353063,0.02339986235375086,0.017894012388162423
30,GREEDY_FRONTIER,3,0.03716448726772195,0.0364762560220234,0.026841018582243633,0.02064693737095664
31,FRONTIER_ASSIST,3,0.03372333103922918,0.03303509979353063,0.02339986235375086,0.017894012388162423
32,SCOUT,3,0.0364762560220234,0.035788024776324846,0.02615278733654508,0.019270474879559532
33,FRONTIER_CENTRAL_GREEDY,3,0.03372333103922918,0.03303509979353063,0.02477632484514797,0.017894012388162423
34,ZONE_SPLIT,3,0.04198210598761184,0.04129387474191328,0.030970406056434963,0.02477632484514797
35,ZONE_VORONOI,3,0.04542326221610461,0.044735030970406056,0.02477632484514797,0.018582243633860976
36,WANDERING,4,0.43083275980729524,0.4301445285615967,0.16930488644184447,0.10116999311768754
37,GREEDY,4,0.15554026152787337,0.1548520302821748,0.035788024776324846,0.02339986235375086
38,FRONTIER,4,0.031658637302133516,0.030970406056434963,0.02477632484514797,0.018582243633860976
39,GREEDY_FRONTIER,4,0.03303509979353063,0.03234686854783207,0.025464556090846524,0.01995870612525809
40,FRONTIER_ASSIST,4,0.031658637302133516,0.030970406056434963,0.02477632484514797,0.018582243633860976
41,SCOUT,4,0.05092911218169305,0.05024088093599449,0.031658637302133516,0.022711631108052306
42,FRONTIER_CENTRAL_GREEDY,4,0.034411562284927734,0.03372333103922918,0.02477632484514797,0.019270474879559532
43,ZONE_SPLIT,4,0.06882312456985547,0.06813489332415691,0.034411562284927734,0.02339986235375086
44,ZONE_VORONOI,4,0.043358568479008944,0.042670337233310394,0.02752924982794219,0.019270474879559532
45,WANDERING,5,0.5492085340674466,0.5485203028217481,0.15141087405368203,0.07639366827253957
46,GREEDY,5,0.05987611837577426,0.05918788713007571,0.028905712319339298,0.022711631108052306
47,FRONTIER,5,0.03234686854783207,0.031658637302133516,0.024088093599449415,0.018582243633860976
48,GREEDY_FRONTIER,5,0.02752924982794219,0.026841018582243633,0.02339986235375086,0.018582243633860976
