num,layout,Method,Coverage 50%,Coverage 75%,Coverage 90%,Coverage 100%
15,PLAIN,WANDERING,100.00%,100.00%,100.00%,100.00%
15,PLAIN,GREEDY,100.00%,100.00%,100.00%,100.00%
15,PLAIN,FRONTIER,100.00%,100.00%,100.00%,100.00%
15,PLAIN,GREEDY_FRONTIER,100.00%,100.00%,100.00%,100.00%
15,PLAIN,FRONTIER_ASSIST,100.00%,100.00%,100.00%,100.00%
15,PLAIN,SCOUT,100.00%,100.00%,100.00%,100.00%
15,PLAIN,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,100.00%
15,PLAIN,ZONE_SPLIT,100.00%,100.00%,100.00%,100.00%
15,PLAIN,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
15,OBSTACLES,WANDERING,100.00%,100.00%,100.00%,97.50%
15,OBSTACLES,GREEDY,100.00%,100.00%,100.00%,100.00%
15,OBSTACLES,FRONTIER,100.00%,100.00%,100.00%,100.00%
15,OBSTACLES,GREEDY_FRONTIER,100.00%,100.00%,100.00%,100.00%
15,OBSTACLES,FRONTIER_ASSIST,100.00%,100.00%,100.00%,100.00%
15,OBSTACLES,SCOUT,100.00%,100.00%,100.00%,100.00%
15,OBSTACLES,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,100.00%
15,OBSTACLES,ZONE_SPLIT,100.00%,100.00%,100.00%,90.00%
15,OBSTACLES,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
15,MAZE,WANDERING,100.00%,100.00%,98.33%,86.67%
15,MAZE,GREEDY,100.00%,100.00%,100.00%,96.67%
15,MAZE,FRONTIER,100.00%,100.00%,100.00%,98.33%
15,MAZE,GREEDY_FRONTIER,100.00%,100.00%,100.00%,100.00%
15,MAZE,FRONTIER_ASSIST,100.00%,100.00%,100.00%,100.00%
15,MAZE,SCOUT,100.00%,100.00%,100.00%,100.00%
15,MAZE,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,98.33%
15,MAZE,ZONE_SPLIT,100.00%,100.00%,100.00%,88.33%
15,MAZE,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
15,O_SHAPE,WANDERING,100.00%,100.00%,98.75%,90.00%
15,O_SHAPE,GREEDY,100.00%,100.00%,100.00%,97.50%
15,O_SHAPE,FRONTIER,100.00%,100.00%,100.00%,98.75%
15,O_SHAPE,GREEDY_FRONTIER,100.00%,100.00%,100.00%,100.00%
15,O_SHAPE,FRONTIER_ASSIST,100.00%,100.00%,100.00%,100.00%
15,O_SHAPE,SCOUT,100.00%,100.00%,100.00%,100.00%
15,O_SHAPE,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,98.75%
15,O_SHAPE,ZONE_SPLIT,100.00%,100.00%,100.00%,88.75%
15,O_SHAPE,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
15,U_SHAPE,WANDERING,100.00%,100.00%,99.00%,92.00%
15,U_SHAPE,GREEDY,100.00%,100.00%,100.00%,98.00%
15,U_SHAPE,FRONTIER,100.00%,100.00%,100.00%,99.00%
15,U_SHAPE,GREEDY_FRONTIER,100.00%,100.00%,100.00%,100.00%
15,U_SHAPE,FRONTIER_ASSIST,100.00%,100.00%,100.00%,100.00%
15,U_SHAPE,SCOUT,100.00%,100.00%,100.00%,100.00%
15,U_SHAPE,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,98.00%
15,U_SHAPE,ZONE_SPLIT,100.00%,100.00%,99.00%,90.00%
15,U_SHAPE,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
15,I_SHAPE,WANDERING,100.00%,100.00%,99.17%,93.33%
15,I_SHAPE,GREEDY,100.00%,100.00%,100.00%,98.33%
15,I_SHAPE,FRONTIER,100.00%,100.00%,100.00%,99.17%
15,I_SHAPE,GREEDY_FRONTIER,100.00%,100.00%,100.00%,100.00%
15,I_SHAPE,FRONTIER_ASSIST,100.00%,100.00%,100.00%,100.00%
15,I_SHAPE,SCOUT,100.00%,100.00%,100.00%,100.00%
15,I_SHAPE,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,98.33%
15,I_SHAPE,ZONE_SPLIT,100.00%,100.00%,99.17%,91.67%
15,I_SHAPE,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
15,ROOM,WANDERING,100.00%,100.00%,99.29%,87.14%
15,ROOM,GREEDY,100.00%,100.00%,100.00%,97.86%
15,ROOM,FRONTIER,100.00%,100.00%,100.00%,97.86%
15,ROOM,GREEDY_FRONTIER,100.00%,100.00%,100.00%,96.43%
15,ROOM,FRONTIER_ASSIST,100.00%,100.00%,100.00%,98.57%
15,ROOM,SCOUT,100.00%,100.00%,100.00%,98.57%
15,ROOM,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,90.71%
15,ROOM,ZONE_SPLIT,100.00%,100.00%,99.29%,89.29%
15,ROOM,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
15,HOUSE,WANDERING,100.00%,100.00%,99.38%,85.62%
15,HOUSE,GREEDY,100.00%,100.00%,100.00%,98.12%
15,HOUSE,FRONTIER,100.00%,100.00%,100.00%,98.12%
15,HOUSE,GREEDY_FRONTIER,100.00%,100.00%,100.00%,96.88%
15,HOUSE,FRONTIER_ASSIST,100.00%,100.00%,100.00%,98.75%
15,HOUSE,SCOUT,100.00%,100.00%,100.00%,98.75%
15,HOUSE,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,91.88%
15,HOUSE,ZONE_SPLIT,100.00%,100.00%,99.38%,90.00%
15,HOUSE,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
15,CAVE,WANDERING,100.00%,100.00%,99.44%,78.89%
15,CAVE,GREEDY,100.00%,100.00%,100.00%,97.22%
15,CAVE,FRONTIER,100.00%,100.00%,100.00%,97.78%
15,CAVE,GREEDY_FRONTIER,100.00%,100.00%,100.00%,97.22%
15,CAVE,FRONTIER_ASSIST,100.00%,100.00%,100.00%,98.33%
15,CAVE,SCOUT,100.00%,100.00%,100.00%,98.33%
15,CAVE,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,87.78%
15,CAVE,ZONE_SPLIT,100.00%,100.00%,99.44%,87.22%
15,CAVE,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
