Episode 1, Total Reward: -32218.5, Epsilon: 0.895
Episode 2, Total Reward: -15398.0, Epsilon: 0.891
Episode 3, Total Reward: -28691.0, Epsilon: 0.887
Episode 4, Total Reward: -33888.0, Epsilon: 0.882
Episode 5, Total Reward: -26133.5, Epsilon: 0.878
Episode 6, Total Reward: -30866.5, Epsilon: 0.873
Episode 7, Total Reward: -94163.5, Epsilon: 0.869
Episode 8, Total Reward: -19588.5, Epsilon: 0.865
Episode 9, Total Reward: -38812.0, Epsilon: 0.860
Episode 10, Total Reward: -53536.5, Epsilon: 0.856
Episode 11, Total Reward: -34812.0, Epsilon: 0.852
Episode 12, Total Reward: -21244.5, Epsilon: 0.847
Episode 13, Total Reward: -12894.0, Epsilon: 0.843
Episode 14, Total Reward: -14636.5, Epsilon: 0.839
Episode 15, Total Reward: -53615.5, Epsilon: 0.835
Episode 16, Total Reward: -39037.0, Epsilon: 0.831
Episode 17, Total Reward: -41667.5, Epsilon: 0.826
Episode 18, Total Reward: -32234.0, Epsilon: 0.822
Episode 19, Total Reward: -24595.0, Epsilon: 0.818
Episode 20, Total Reward: -36825.5, Epsilon: 0.814
Episode 21, Total Reward: -26033.0, Epsilon: 0.810
Episode 22, Total Reward: -63037.5, Epsilon: 0.806
Episode 23, Total Reward: -26586.5, Epsilon: 0.802
Episode 24, Total Reward: -55331.0, Epsilon: 0.798
Episode 25, Total Reward: -41180.5, Epsilon: 0.794
Episode 26, Total Reward: -36370.5, Epsilon: 0.790
Episode 27, Total Reward: -24223.5, Epsilon: 0.786
Episode 28, Total Reward: -36963.0, Epsilon: 0.782
Episode 29, Total Reward: -46918.5, Epsilon: 0.778
Episode 30, Total Reward: -26644.5, Epsilon: 0.774
Episode 31, Total Reward: -59111.0, Epsilon: 0.770
Episode 32, Total Reward: -24720.5, Epsilon: 0.767
Episode 33, Total Reward: -38002.5, Epsilon: 0.763
Episode 34, Total Reward: -46882.0, Epsilon: 0.759
Episode 35, Total Reward: -91257.0, Epsilon: 0.755
Episode 36, Total Reward: -107167.5, Epsilon: 0.751
Episode 37, Total Reward: -103461.5, Epsilon: 0.748
Episode 38, Total Reward: -74063.5, Epsilon: 0.744
Episode 39, Total Reward: -59774.0, Epsilon: 0.740
Episode 40, Total Reward: -8602.0, Epsilon: 0.736
Episode 41, Total Reward: -41658.5, Epsilon: 0.733
Episode 42, Total Reward: -109523.5, Epsilon: 0.729
Episode 43, Total Reward: -16249.0, Epsilon: 0.725
Episode 44, Total Reward: -77312.5, Epsilon: 0.722
Episode 45, Total Reward: -42780.5, Epsilon: 0.718
Episode 46, Total Reward: -16713.5, Epsilon: 0.715
Episode 47, Total Reward: -93123.5, Epsilon: 0.711
Episode 48, Total Reward: -119968.0, Epsilon: 0.708
Episode 49, Total Reward: -17816.5, Epsilon: 0.704
Episode 50, Total Reward: -79168.5, Epsilon: 0.700
Episode 51, Total Reward: -111881.5, Epsilon: 0.697
Episode 52, Total Reward: -138377.5, Epsilon: 0.693
Episode 53, Total Reward: -187808.0, Epsilon: 0.690
Episode 54, Total Reward: -416213.5, Epsilon: 0.687
Episode 55, Total Reward: -48311.0, Epsilon: 0.683
Episode 56, Total Reward: -91109.0, Epsilon: 0.680
Episode 57, Total Reward: -136969.0, Epsilon: 0.676
Episode 58, Total Reward: -239297.5, Epsilon: 0.673
Episode 59, Total Reward: -59785.5, Epsilon: 0.670
Episode 60, Total Reward: -101507.0, Epsilon: 0.666
Episode 61, Total Reward: -124736.5, Epsilon: 0.663
Episode 62, Total Reward: -72789.0, Epsilon: 0.660
Episode 63, Total Reward: -136373.5, Epsilon: 0.656
Episode 64, Total Reward: -45769.5, Epsilon: 0.653
Episode 65, Total Reward: -50911.0, Epsilon: 0.650
Episode 66, Total Reward: -16695.5, Epsilon: 0.646
Episode 67, Total Reward: -18505.0, Epsilon: 0.643
Episode 68, Total Reward: -91887.5, Epsilon: 0.640
Episode 69, Total Reward: -50229.5, Epsilon: 0.637
Episode 70, Total Reward: -27259.0, Epsilon: 0.634
Episode 71, Total Reward: -78070.5, Epsilon: 0.630
Episode 72, Total Reward: -175755.5, Epsilon: 0.627
Episode 73, Total Reward: -34144.0, Epsilon: 0.624
Episode 74, Total Reward: -10987.0, Epsilon: 0.621
Episode 75, Total Reward: -209780.0, Epsilon: 0.618
Episode 76, Total Reward: -63470.5, Epsilon: 0.615
