Episode 1, Total Reward: -20.5, Epsilon: 0.895
Episode 2, Total Reward: 52.5, Epsilon: 0.891
Episode 3, Total Reward: 107.0, Epsilon: 0.887
Episode 4, Total Reward: 87.5, Epsilon: 0.882
Episode 5, Total Reward: 122.5, Epsilon: 0.878
Episode 6, Total Reward: 8.0, Epsilon: 0.873
Episode 7, Total Reward: 93.0, Epsilon: 0.869
Episode 8, Total Reward: 40.0, Epsilon: 0.865
Episode 9, Total Reward: 173.0, Epsilon: 0.860
Episode 10, Total Reward: 38.0, Epsilon: 0.856
Episode 11, Total Reward: 138.0, Epsilon: 0.852
Episode 12, Total Reward: -147.0, Epsilon: 0.847
Episode 13, Total Reward: -200.5, Epsilon: 0.843
Episode 14, Total Reward: 97.0, Epsilon: 0.839
Episode 15, Total Reward: 20.0, Epsilon: 0.835
Episode 16, Total Reward: 145.0, Epsilon: 0.831
Episode 17, Total Reward: 60.0, Epsilon: 0.826
Episode 18, Total Reward: -230.5, Epsilon: 0.822
Episode 19, Total Reward: 39.5, Epsilon: 0.818
Episode 20, Total Reward: 162.0, Epsilon: 0.814
Episode 21, Total Reward: 139.5, Epsilon: 0.810
Episode 22, Total Reward: 179.0, Epsilon: 0.806
Episode 23, Total Reward: 76.5, Epsilon: 0.802
Episode 24, Total Reward: 140.0, Epsilon: 0.798
Episode 25, Total Reward: 141.5, Epsilon: 0.794
Episode 26, Total Reward: 71.0, Epsilon: 0.790
Episode 27, Total Reward: 134.5, Epsilon: 0.786
Episode 28, Total Reward: 165.5, Epsilon: 0.782
Episode 29, Total Reward: 130.0, Epsilon: 0.778
Episode 30, Total Reward: 163.0, Epsilon: 0.774
Episode 31, Total Reward: 154.0, Epsilon: 0.770
Episode 32, Total Reward: 173.5, Epsilon: 0.767
Episode 33, Total Reward: 144.5, Epsilon: 0.763
Episode 34, Total Reward: 149.0, Epsilon: 0.759
Episode 35, Total Reward: 123.5, Epsilon: 0.755
Episode 36, Total Reward: 45.0, Epsilon: 0.751
Episode 37, Total Reward: 165.5, Epsilon: 0.748
Episode 38, Total Reward: 109.5, Epsilon: 0.744
Episode 39, Total Reward: 139.5, Epsilon: 0.740
Episode 40, Total Reward: 164.0, Epsilon: 0.736
