Behaviour,Round,total100,total90,total75,total50
WANDERING,0,-1,-1,-1,1999
GREEDY,0,1793,1792,740,439
FRONTIER,0,216,215,186,146
GREEDY_FRONTIER,0,268,267,147,111
FRONTIER_ASSIST,0,216,215,186,146
SCOUT,0,240,239,198,130
FRONTIER_CENTRAL_GREEDY,0,195,194,156,120
ZONE_SPLIT,0,188,187,159,116
ZONE_VORONOI,0,208,207,184,120
WANDERING,1,-1,-1,1999,1176
GREEDY,1,1672,1671,1463,926
FRONTIER,1,197,196,162,117
GREEDY_FRONTIER,1,215,214,166,128
FRONTIER_ASSIST,1,197,196,162,117
SCOUT,1,224,223,193,150
FRONTIER_CENTRAL_GREEDY,1,192,191,156,106
ZONE_SPLIT,1,186,185,156,118
ZONE_VORONOI,1,173,172,130,105
WANDERING,2,-1,-1,1999,1056
GREEDY,2,-1,1999,1701,1369
FRONTIER,2,207,206,152,106
GREEDY_FRONTIER,2,177,176,127,97
FRONTIER_ASSIST,2,207,206,152,106
SCOUT,2,259,258,203,161
FRONTIER_CENTRAL_GREEDY,2,178,177,151,109
ZONE_SPLIT,2,180,179,154,109
ZONE_VORONOI,2,185,184,157,118
WANDERING,3,-1,-1,1999,1656
GREEDY,3,-1,-1,-1,1999
FRONTIER,3,-1,1999,217,157
GREEDY_FRONTIER,3,195,194,152,104
FRONTIER_ASSIST,3,-1,1999,217,157
SCOUT,3,260,259,158,124
FRONTIER_CENTRAL_GREEDY,3,230,229,171,134
ZONE_SPLIT,3,235,234,160,135
ZONE_VORONOI,3,268,267,194,110
WANDERING,4,-1,-1,1999,1241
GREEDY,4,844,843,272,185
FRONTIER,4,-1,1999,178,108
GREEDY_FRONTIER,4,222,221,144,94
FRONTIER_ASSIST,4,-1,1999,178,108
SCOUT,4,245,244,202,131
FRONTIER_CENTRAL_GREEDY,4,-1,1999,153,105
ZONE_SPLIT,4,259,258,163,112
ZONE_VORONOI,4,195,194,138,109
WANDERING,5,-1,1999,1820,802
GREEDY,5,-1,1999,424,139
FRONTIER,5,179,178,118,90
GREEDY_FRONTIER,5,187,186,128,97
FRONTIER_ASSIST,5,179,178,118,90
SCOUT,5,272,271,230,133
FRONTIER_CENTRAL_GREEDY,5,192,191,124,94
ZONE_SPLIT,5,202,201,157,116
ZONE_VORONOI,5,223,222,153,91
WANDERING,6,-1,-1,1999,1247
GREEDY,6,1972,1971,1043,621
FRONTIER,6,238,237,166,116
GREEDY_FRONTIER,6,215,214,160,115
FRONTIER_ASSIST,6,238,237,166,116
SCOUT,6,259,258,188,149
FRONTIER_CENTRAL_GREEDY,6,385,384,147,113
ZONE_SPLIT,6,211,210,167,128
ZONE_VORONOI,6,222,221,144,97
WANDERING,7,-1,-1,1999,807
GREEDY,7,-1,1999,542,162
FRONTIER,7,261,260,195,132
GREEDY_FRONTIER,7,205,204,160,117
FRONTIER_ASSIST,7,240,239,211,138
SCOUT,7,331,330,235,184
FRONTIER_CENTRAL_GREEDY,7,226,225,166,115
ZONE_SPLIT,7,208,207,154,118
ZONE_VORONOI,7,217,216,164,127
WANDERING,8,-1,-1,1999,986
GREEDY,8,-1,1999,478,314
FRONTIER,8,189,188,130,98
GREEDY_FRONTIER,8,202,201,122,96
FRONTIER_ASSIST,8,189,188,130,98
SCOUT,8,370,369,193,135
FRONTIER_CENTRAL_GREEDY,8,-1,1999,124,96
ZONE_SPLIT,8,229,228,148,116
ZONE_VORONOI,8,162,161,117,90
WANDERING,9,-1,-1,1999,814
GREEDY,9,-1,1999,938,212
FRONTIER,9,195,194,122,96
GREEDY_FRONTIER,9,210,209,143,85
FRONTIER_ASSIST,9,195,194,122,96
SCOUT,9,275,274,186,145
FRONTIER_CENTRAL_GREEDY,9,-1,1999,123,97
ZONE_SPLIT,9,239,238,195,115
ZONE_VORONOI,9,180,179,147,98
WANDERING,10,-1,-1,1999,1240
GREEDY,10,1713,1712,515,204
FRONTIER,10,211,210,151,102
GREEDY_FRONTIER,10,246,245,156,117
FRONTIER_ASSIST,10,211,210,151,102
SCOUT,10,342,341,222,130
FRONTIER_CENTRAL_GREEDY,10,231,230,151,102
ZONE_SPLIT,10,246,245,168,120
ZONE_VORONOI,10,168,167,132,99
WANDERING,11,-1,-1,1999,1194
GREEDY,11,1443,1442,868,285
FRONTIER,11,178,177,126,105
GREEDY_FRONTIER,11,187,186,150,107
FRONTIER_ASSIST,11,178,177,126,105
SCOUT,11,213,212,179,123
FRONTIER_CENTRAL_GREEDY,11,191,190,149,102
ZONE_SPLIT,11,214,213,179,120
ZONE_VORONOI,11,197,196,156,98
WANDERING,12,-1,-1,-1,1999
GREEDY,12,1835,1834,1124,766
FRONTIER,12,197,196,157,125
GREEDY_FRONTIER,12,194,193,158,110
FRONTIER_ASSIST,12,197,196,157,125
SCOUT,12,344,343,272,211
FRONTIER_CENTRAL_GREEDY,12,175,174,124,97
ZONE_SPLIT,12,199,198,162,109
ZONE_VORONOI,12,224,223,145,98
WANDERING,13,-1,-1,-1,1999
GREEDY,13,-1,-1,1999,701
FRONTIER,13,180,179,130,103
GREEDY_FRONTIER,13,247,246,207,163
FRONTIER_ASSIST,13,180,179,130,103
SCOUT,13,242,241,197,136
FRONTIER_CENTRAL_GREEDY,13,-1,1999,169,114
ZONE_SPLIT,13,198,197,167,104
ZONE_VORONOI,13,187,186,133,107
WANDERING,14,-1,-1,1999,1489
GREEDY,14,-1,1999,945,392
FRONTIER,14,203,202,164,130
GREEDY_FRONTIER,14,257,256,161,133
FRONTIER_ASSIST,14,203,202,164,130
SCOUT,14,256,255,213,150
FRONTIER_CENTRAL_GREEDY,14,-1,1999,140,103
ZONE_SPLIT,14,293,292,179,105
ZONE_VORONOI,14,226,225,147,115
WANDERING,15,-1,-1,1999,1614
GREEDY,15,1070,1069,474,302
FRONTIER,15,198,197,157,118
GREEDY_FRONTIER,15,176,175,129,99
FRONTIER_ASSIST,15,198,197,157,118
SCOUT,15,250,249,180,110
FRONTIER_CENTRAL_GREEDY,15,207,206,138,109
ZONE_SPLIT,15,224,223,179,104
ZONE_VORONOI,15,222,221,188,130
WANDERING,16,-1,-1,-1,1999
GREEDY,16,-1,-1,1999,506
FRONTIER,16,190,189,145,117
GREEDY_FRONTIER,16,275,274,227,151
FRONTIER_ASSIST,16,190,189,145,117
SCOUT,16,271,270,190,140
FRONTIER_CENTRAL_GREEDY,16,233,232,162,114
ZONE_SPLIT,16,228,227,175,130
ZONE_VORONOI,16,220,219,158,106
WANDERING,17,-1,-1,1999,1707
GREEDY,17,-1,1999,1586,164
FRONTIER,17,266,265,157,88
GREEDY_FRONTIER,17,234,233,135,90
FRONTIER_ASSIST,17,254,253,157,88
SCOUT,17,267,266,222,187
FRONTIER_CENTRAL_GREEDY,17,182,181,142,91
ZONE_SPLIT,17,231,230,157,120
ZONE_VORONOI,17,161,160,127,96
WANDERING,18,-1,-1,1999,929
GREEDY,18,-1,1999,451,242
FRONTIER,18,197,196,123,101
GREEDY_FRONTIER,18,182,181,138,92
FRONTIER_ASSIST,18,197,196,123,101
SCOUT,18,265,264,167,132
FRONTIER_CENTRAL_GREEDY,18,221,220,152,103
ZONE_SPLIT,18,224,223,168,119
ZONE_VORONOI,18,180,179,132,98
WANDERING,19,-1,-1,-1,1999
GREEDY,19,-1,1999,624,244
FRONTIER,19,182,181,149,102
GREEDY_FRONTIER,19,281,280,192,120
FRONTIER_ASSIST,19,182,181,149,102
SCOUT,19,285,284,156,122
FRONTIER_CENTRAL_GREEDY,19,266,265,123,100
ZONE_SPLIT,19,232,231,151,101
ZONE_VORONOI,19,165,164,129,107
