Behaviour,Round,total100,total90,total75,total50
WANDERING,0,1006,1005,341,172
GREEDY,0,616,615,489,45
FRONTIER,0,84,83,54,34
GREEDY_FRONTIER,0,99,98,63,36
FRONTIER_ASSIST,0,84,83,54,34
SCOUT,0,84,83,52,38
FRONTIER_CENTRAL_GREEDY,0,108,107,53,35
ZONE_SPLIT,0,377,376,256,100
ZONE_VORONOI,0,76,75,54,41
WANDERING,1,1365,1364,514,229
GREEDY,1,408,407,79,37
FRONTIER,1,86,85,53,38
GREEDY_FRONTIER,1,72,71,47,35
FRONTIER_ASSIST,1,86,85,53,38
SCOUT,1,71,70,51,37
FRONTIER_CENTRAL_GREEDY,1,71,70,51,36
ZONE_SPLIT,1,109,108,66,49
ZONE_VORONOI,1,88,87,59,36
WANDERING,2,1364,1363,384,183
GREEDY,2,474,473,193,125
FRONTIER,2,73,72,50,34
GREEDY_FRONTIER,2,86,85,70,49
FRONTIER_ASSIST,2,73,72,50,34
SCOUT,2,94,93,65,43
FRONTIER_CENTRAL_GREEDY,2,69,68,48,35
ZONE_SPLIT,2,114,113,86,53
ZONE_VORONOI,2,67,66,49,37
WANDERING,3,1189,1188,451,239
GREEDY,3,192,191,115,81
FRONTIER,3,73,72,52,39
GREEDY_FRONTIER,3,93,92,72,48
FRONTIER_ASSIST,3,73,72,52,39
SCOUT,3,111,110,68,48
FRONTIER_CENTRAL_GREEDY,3,101,100,70,43
ZONE_SPLIT,3,132,131,90,58
ZONE_VORONOI,3,81,80,55,39
WANDERING,4,-1,1999,357,194
GREEDY,4,159,158,104,44
FRONTIER,4,89,88,54,35
GREEDY_FRONTIER,4,100,99,64,37
FRONTIER_ASSIST,4,89,88,54,35
SCOUT,4,86,85,63,45
FRONTIER_CENTRAL_GREEDY,4,185,184,58,35
ZONE_SPLIT,4,125,124,91,55
ZONE_VORONOI,4,133,132,60,36
WANDERING,5,1287,1286,327,183
GREEDY,5,323,322,258,80
FRONTIER,5,78,77,55,35
GREEDY_FRONTIER,5,93,92,74,57
FRONTIER_ASSIST,5,78,77,55,35
SCOUT,5,79,78,59,46
FRONTIER_CENTRAL_GREEDY,5,79,78,56,37
ZONE_SPLIT,5,-1,1999,124,89
ZONE_VORONOI,5,90,89,59,45
WANDERING,6,1078,1077,390,231
GREEDY,6,1667,1666,101,49
FRONTIER,6,84,83,60,35
GREEDY_FRONTIER,6,84,83,58,40
FRONTIER_ASSIST,6,85,84,60,35
SCOUT,6,94,93,59,40
FRONTIER_CENTRAL_GREEDY,6,87,86,62,45
ZONE_SPLIT,6,129,128,100,63
ZONE_VORONOI,6,93,92,54,37
WANDERING,7,1312,1311,453,219
GREEDY,7,446,445,93,58
FRONTIER,7,62,61,46,34
GREEDY_FRONTIER,7,74,73,54,43
FRONTIER_ASSIST,7,62,61,46,34
SCOUT,7,87,86,60,41
FRONTIER_CENTRAL_GREEDY,7,62,61,47,35
ZONE_SPLIT,7,118,117,77,60
ZONE_VORONOI,7,87,86,52,35
WANDERING,8,-1,1999,352,178
GREEDY,8,161,160,70,43
FRONTIER,8,72,71,46,34
GREEDY_FRONTIER,8,73,72,53,37
FRONTIER_ASSIST,8,72,71,46,34
SCOUT,8,73,72,51,37
FRONTIER_CENTRAL_GREEDY,8,80,79,45,34
ZONE_SPLIT,8,235,234,76,48
ZONE_VORONOI,8,74,73,48,36
WANDERING,9,-1,1999,1119,464
GREEDY,9,108,107,84,61
FRONTIER,9,163,162,84,44
GREEDY_FRONTIER,9,125,124,106,55
FRONTIER_ASSIST,9,162,161,84,44
SCOUT,9,180,179,130,52
FRONTIER_CENTRAL_GREEDY,9,97,96,77,43
ZONE_SPLIT,9,289,288,175,81
ZONE_VORONOI,9,141,140,98,45
WANDERING,10,1082,1081,324,189
GREEDY,10,923,922,79,48
FRONTIER,10,55,54,41,32
GREEDY_FRONTIER,10,66,65,48,35
FRONTIER_ASSIST,10,55,54,41,32
SCOUT,10,81,80,53,36
FRONTIER_CENTRAL_GREEDY,10,66,65,46,35
ZONE_SPLIT,10,134,133,70,55
ZONE_VORONOI,10,71,70,48,36
WANDERING,11,943,942,283,181
GREEDY,11,216,215,81,54
FRONTIER,11,67,66,45,31
GREEDY_FRONTIER,11,97,96,49,39
FRONTIER_ASSIST,11,67,66,45,31
SCOUT,11,83,82,54,36
FRONTIER_CENTRAL_GREEDY,11,69,68,46,34
ZONE_SPLIT,11,104,103,77,51
ZONE_VORONOI,11,77,76,52,36
WANDERING,12,1367,1366,371,182
GREEDY,12,641,640,573,49
FRONTIER,12,94,93,53,36
GREEDY_FRONTIER,12,86,85,54,37
FRONTIER_ASSIST,12,83,82,53,36
SCOUT,12,84,83,57,42
FRONTIER_CENTRAL_GREEDY,12,82,81,49,38
ZONE_SPLIT,12,125,124,70,51
ZONE_VORONOI,12,67,66,48,35
WANDERING,13,1327,1326,334,200
GREEDY,13,164,163,104,37
FRONTIER,13,87,86,49,34
GREEDY_FRONTIER,13,82,81,59,42
FRONTIER_ASSIST,13,87,86,49,34
SCOUT,13,169,168,114,39
FRONTIER_CENTRAL_GREEDY,13,77,76,45,34
ZONE_SPLIT,13,125,124,73,57
ZONE_VORONOI,13,76,75,47,35
WANDERING,14,-1,1999,610,332
GREEDY,14,212,211,95,57
FRONTIER,14,217,216,71,47
GREEDY_FRONTIER,14,81,80,62,44
FRONTIER_ASSIST,14,175,174,71,47
SCOUT,14,84,83,64,50
FRONTIER_CENTRAL_GREEDY,14,104,103,81,48
ZONE_SPLIT,14,164,163,103,66
ZONE_VORONOI,14,169,168,68,50
WANDERING,15,-1,1999,1655,294
GREEDY,15,1323,1322,230,46
FRONTIER,15,106,105,79,41
GREEDY_FRONTIER,15,82,81,55,37
FRONTIER_ASSIST,15,115,114,78,41
SCOUT,15,210,209,79,51
FRONTIER_CENTRAL_GREEDY,15,94,93,64,39
ZONE_SPLIT,15,157,156,100,59
ZONE_VORONOI,15,97,96,56,38
WANDERING,16,1668,1667,1250,361
GREEDY,16,244,243,63,39
FRONTIER,16,112,111,78,50
GREEDY_FRONTIER,16,80,79,57,39
FRONTIER_ASSIST,16,108,107,74,50
SCOUT,16,120,119,62,44
FRONTIER_CENTRAL_GREEDY,16,79,78,64,46
ZONE_SPLIT,16,177,176,84,55
ZONE_VORONOI,16,107,106,81,55
WANDERING,17,1244,1243,344,196
GREEDY,17,514,513,75,48
FRONTIER,17,73,72,52,37
GREEDY_FRONTIER,17,90,89,60,41
FRONTIER_ASSIST,17,73,72,52,37
SCOUT,17,79,78,61,37
FRONTIER_CENTRAL_GREEDY,17,73,72,50,35
ZONE_SPLIT,17,140,139,104,60
ZONE_VORONOI,17,86,85,52,36
WANDERING,18,895,894,328,167
GREEDY,18,466,465,63,44
FRONTIER,18,67,66,52,36
GREEDY_FRONTIER,18,67,66,50,39
FRONTIER_ASSIST,18,67,66,52,36
SCOUT,18,90,89,63,43
FRONTIER_CENTRAL_GREEDY,18,64,63,50,36
ZONE_SPLIT,18,412,411,331,60
ZONE_VORONOI,18,123,122,53,38
WANDERING,19,1553,1552,535,176
GREEDY,19,213,212,79,40
FRONTIER,19,117,116,80,44
GREEDY_FRONTIER,19,78,77,52,36
FRONTIER_ASSIST,19,117,116,80,44
SCOUT,19,146,145,102,50
FRONTIER_CENTRAL_GREEDY,19,97,96,68,38
ZONE_SPLIT,19,411,410,195,123
ZONE_VORONOI,19,89,88,55,37
