Behaviour,Round,total100,total90,total75,total50
WANDERING,0,824,823,248,172
GREEDY,0,106,105,57,33
FRONTIER,0,51,50,37,27
GREEDY_FRONTIER,0,52,51,39,30
FRONTIER_ASSIST,0,51,50,37,27
SCOUT,0,79,78,43,30
FRONTIER_CENTRAL_GREEDY,0,53,52,42,29
ZONE_SPLIT,0,81,80,38,29
ZONE_VORONOI,0,55,54,42,30
WANDERING,1,702,701,530,230
GREEDY,1,203,202,131,28
FRONTIER,1,52,51,41,27
GREEDY_FRONTIER,1,60,59,41,24
FRONTIER_ASSIST,1,52,51,41,27
SCOUT,1,98,97,43,31
FRONTIER_CENTRAL_GREEDY,1,49,48,40,25
ZONE_SPLIT,1,64,63,43,32
ZONE_VORONOI,1,52,51,41,31
WANDERING,2,641,640,485,285
GREEDY,2,1603,1602,128,76
FRONTIER,2,57,56,42,30
GREEDY_FRONTIER,2,70,69,55,43
FRONTIER_ASSIST,2,57,56,42,30
SCOUT,2,98,97,44,33
FRONTIER_CENTRAL_GREEDY,2,64,63,44,32
ZONE_SPLIT,2,83,82,42,29
ZONE_VORONOI,2,62,61,44,31
WANDERING,3,679,678,388,142
GREEDY,3,167,166,65,43
FRONTIER,3,52,51,38,27
GREEDY_FRONTIER,3,59,58,45,34
FRONTIER_ASSIST,3,52,51,38,27
SCOUT,3,56,55,37,27
FRONTIER_CENTRAL_GREEDY,3,55,54,42,31
ZONE_SPLIT,3,54,53,43,27
ZONE_VORONOI,3,52,51,41,26
WANDERING,4,1617,1616,463,179
GREEDY,4,88,87,53,25
FRONTIER,4,54,53,35,26
GREEDY_FRONTIER,4,59,58,41,24
FRONTIER_ASSIST,4,54,53,35,26
SCOUT,4,44,43,33,26
FRONTIER_CENTRAL_GREEDY,4,51,50,39,28
ZONE_SPLIT,4,117,116,38,30
ZONE_VORONOI,4,48,47,35,28
WANDERING,5,711,710,294,137
GREEDY,5,103,102,69,31
FRONTIER,5,47,46,38,27
GREEDY_FRONTIER,5,59,58,45,33
FRONTIER_ASSIST,5,48,47,38,27
SCOUT,5,59,58,41,29
FRONTIER_CENTRAL_GREEDY,5,-1,1999,31,24
ZONE_SPLIT,5,67,66,39,28
ZONE_VORONOI,5,67,66,40,28
WANDERING,6,648,647,352,238
GREEDY,6,55,54,38,28
FRONTIER,6,43,42,32,26
GREEDY_FRONTIER,6,51,50,36,26
FRONTIER_ASSIST,6,43,42,32,26
SCOUT,6,59,58,42,33
FRONTIER_CENTRAL_GREEDY,6,49,48,37,31
ZONE_SPLIT,6,91,90,48,36
ZONE_VORONOI,6,64,63,46,33
WANDERING,7,1006,1005,473,234
GREEDY,7,105,104,55,33
FRONTIER,7,56,55,38,24
GREEDY_FRONTIER,7,58,57,42,28
FRONTIER_ASSIST,7,56,55,38,24
SCOUT,7,54,53,39,29
FRONTIER_CENTRAL_GREEDY,7,58,57,43,28
ZONE_SPLIT,7,87,86,39,30
ZONE_VORONOI,7,57,56,41,27
WANDERING,8,1468,1467,309,133
GREEDY,8,145,144,112,60
FRONTIER,8,45,44,31,23
GREEDY_FRONTIER,8,54,53,40,32
FRONTIER_ASSIST,8,45,44,31,23
SCOUT,8,73,72,39,27
FRONTIER_CENTRAL_GREEDY,8,48,47,34,25
ZONE_SPLIT,8,54,53,36,27
ZONE_VORONOI,8,57,56,34,24
WANDERING,9,524,523,231,162
GREEDY,9,309,308,59,35
FRONTIER,9,44,43,36,29
GREEDY_FRONTIER,9,56,55,42,26
FRONTIER_ASSIST,9,44,43,36,29
SCOUT,9,58,57,39,28
FRONTIER_CENTRAL_GREEDY,9,52,51,42,34
ZONE_SPLIT,9,103,102,39,29
ZONE_VORONOI,9,56,55,35,25
WANDERING,10,670,669,360,223
GREEDY,10,291,290,258,63
FRONTIER,10,59,58,43,31
GREEDY_FRONTIER,10,56,55,44,36
FRONTIER_ASSIST,10,59,58,43,31
SCOUT,10,76,75,46,31
FRONTIER_CENTRAL_GREEDY,10,72,71,42,28
ZONE_SPLIT,10,107,106,43,30
ZONE_VORONOI,10,65,64,43,32
WANDERING,11,633,632,204,140
GREEDY,11,985,984,402,167
FRONTIER,11,59,58,41,27
GREEDY_FRONTIER,11,69,68,52,39
FRONTIER_ASSIST,11,59,58,41,27
SCOUT,11,48,47,36,28
FRONTIER_CENTRAL_GREEDY,11,55,54,41,27
ZONE_SPLIT,11,89,88,36,27
ZONE_VORONOI,11,52,51,40,29
WANDERING,12,762,761,291,158
GREEDY,12,283,282,250,46
FRONTIER,12,62,61,46,33
GREEDY_FRONTIER,12,57,56,45,32
FRONTIER_ASSIST,12,62,61,44,33
SCOUT,12,59,58,44,29
FRONTIER_CENTRAL_GREEDY,12,72,71,43,31
ZONE_SPLIT,12,105,104,40,29
ZONE_VORONOI,12,56,55,42,26
WANDERING,13,680,679,376,166
GREEDY,13,63,62,39,23
FRONTIER,13,55,54,41,28
GREEDY_FRONTIER,13,47,46,34,23
FRONTIER_ASSIST,13,55,54,41,28
SCOUT,13,65,64,35,27
FRONTIER_CENTRAL_GREEDY,13,65,64,41,27
ZONE_SPLIT,13,-1,1999,41,28
ZONE_VORONOI,13,50,49,37,27
WANDERING,14,370,369,208,129
GREEDY,14,80,79,55,38
FRONTIER,14,48,47,34,26
GREEDY_FRONTIER,14,58,57,40,29
FRONTIER_ASSIST,14,48,47,34,26
SCOUT,14,62,61,49,32
FRONTIER_CENTRAL_GREEDY,14,70,69,44,27
ZONE_SPLIT,14,54,53,38,30
ZONE_VORONOI,14,50,49,36,28
WANDERING,15,660,659,335,175
GREEDY,15,227,226,141,43
FRONTIER,15,60,59,43,26
GREEDY_FRONTIER,15,53,52,44,34
FRONTIER_ASSIST,15,60,59,43,26
SCOUT,15,74,73,43,30
FRONTIER_CENTRAL_GREEDY,15,53,52,42,28
ZONE_SPLIT,15,67,66,40,29
ZONE_VORONOI,15,70,69,50,29
WANDERING,16,691,690,539,182
GREEDY,16,724,723,157,96
FRONTIER,16,58,57,35,26
GREEDY_FRONTIER,16,68,67,51,41
FRONTIER_ASSIST,16,58,57,35,26
SCOUT,16,80,79,65,37
FRONTIER_CENTRAL_GREEDY,16,48,47,40,26
ZONE_SPLIT,16,62,61,41,29
ZONE_VORONOI,16,124,123,81,38
WANDERING,17,-1,1999,1246,163
GREEDY,17,304,303,271,57
FRONTIER,17,62,61,36,24
GREEDY_FRONTIER,17,60,59,48,37
FRONTIER_ASSIST,17,62,61,36,24
SCOUT,17,73,72,47,30
FRONTIER_CENTRAL_GREEDY,17,53,52,41,28
ZONE_SPLIT,17,82,81,43,29
ZONE_VORONOI,17,67,66,40,27
WANDERING,18,703,702,254,160
GREEDY,18,587,586,203,30
FRONTIER,18,58,57,45,30
GREEDY_FRONTIER,18,60,59,44,27
FRONTIER_ASSIST,18,58,57,45,30
SCOUT,18,58,57,39,29
FRONTIER_CENTRAL_GREEDY,18,57,56,46,34
ZONE_SPLIT,18,58,57,42,28
ZONE_VORONOI,18,50,49,37,27
WANDERING,19,818,817,671,212
GREEDY,19,498,497,465,89
FRONTIER,19,63,62,49,30
GREEDY_FRONTIER,19,70,69,51,40
FRONTIER_ASSIST,19,63,62,49,30
SCOUT,19,74,73,58,42
FRONTIER_CENTRAL_GREEDY,19,69,68,47,32
ZONE_SPLIT,19,73,72,45,33
ZONE_VORONOI,19,55,54,41,26
