Behaviour,Round,total100,total90,total75,total50
WANDERING,0,-1,1999,1546,1260
GREEDY,0,-1,1999,504,284
FRONTIER,0,170,169,136,75
GREEDY_FRONTIER,0,235,234,194,71
FRONTIER_ASSIST,0,170,169,136,75
SCOUT,0,204,203,175,81
FRONTIER_CENTRAL_GREEDY,0,225,224,198,107
ZONE_SPLIT,0,232,231,142,91
ZONE_VORONOI,0,146,145,116,77
WANDERING,1,-1,-1,1999,1345
GREEDY,1,-1,1999,1019,609
FRONTIER,1,250,249,134,83
GREEDY_FRONTIER,1,308,307,256,96
FRONTIER_ASSIST,1,240,239,134,83
SCOUT,1,162,161,124,98
FRONTIER_CENTRAL_GREEDY,1,197,196,177,85
ZONE_SPLIT,1,193,192,135,79
ZONE_VORONOI,1,142,141,113,74
WANDERING,2,-1,1999,1435,870
GREEDY,2,-1,1999,622,75
FRONTIER,2,162,161,101,70
GREEDY_FRONTIER,2,205,204,124,73
FRONTIER_ASSIST,2,162,161,101,70
SCOUT,2,239,238,121,76
FRONTIER_CENTRAL_GREEDY,2,144,143,98,78
ZONE_SPLIT,2,213,212,119,80
ZONE_VORONOI,2,147,146,117,83
WANDERING,3,-1,-1,1999,778
GREEDY,3,1535,1534,1166,231
FRONTIER,3,148,147,99,80
GREEDY_FRONTIER,3,172,171,111,84
FRONTIER_ASSIST,3,148,147,99,80
SCOUT,3,193,192,122,73
FRONTIER_CENTRAL_GREEDY,3,155,154,108,80
ZONE_SPLIT,3,217,216,170,140
ZONE_VORONOI,3,170,169,117,90
WANDERING,4,-1,-1,1999,1962
GREEDY,4,676,675,408,191
FRONTIER,4,144,143,118,76
GREEDY_FRONTIER,4,126,125,107,87
FRONTIER_ASSIST,4,144,143,118,76
SCOUT,4,172,171,134,92
FRONTIER_CENTRAL_GREEDY,4,146,145,115,78
ZONE_SPLIT,4,178,177,113,77
ZONE_VORONOI,4,168,167,131,98
WANDERING,5,-1,1999,1981,1497
GREEDY,5,647,646,402,343
FRONTIER,5,221,220,121,83
GREEDY_FRONTIER,5,140,139,102,82
FRONTIER_ASSIST,5,207,206,121,83
SCOUT,5,154,153,115,86
FRONTIER_CENTRAL_GREEDY,5,162,161,122,80
ZONE_SPLIT,5,205,204,112,92
ZONE_VORONOI,5,191,190,160,84
WANDERING,6,-1,-1,-1,1999
GREEDY,6,1755,1754,447,135
FRONTIER,6,220,219,195,80
GREEDY_FRONTIER,6,203,202,116,70
FRONTIER_ASSIST,6,199,198,174,80
SCOUT,6,172,171,153,70
FRONTIER_CENTRAL_GREEDY,6,184,183,154,114
ZONE_SPLIT,6,217,216,120,84
ZONE_VORONOI,6,204,203,172,78
WANDERING,7,-1,-1,-1,1999
GREEDY,7,-1,1999,179,139
FRONTIER,7,221,220,150,84
GREEDY_FRONTIER,7,135,134,115,73
FRONTIER_ASSIST,7,221,220,150,84
SCOUT,7,213,212,172,82
FRONTIER_CENTRAL_GREEDY,7,163,162,123,74
ZONE_SPLIT,7,178,177,130,91
ZONE_VORONOI,7,149,148,122,89
WANDERING,8,-1,1999,1867,1508
GREEDY,8,-1,1999,541,359
FRONTIER,8,124,123,110,91
GREEDY_FRONTIER,8,241,240,136,74
FRONTIER_ASSIST,8,124,123,110,91
SCOUT,8,157,156,126,104
FRONTIER_CENTRAL_GREEDY,8,201,200,103,90
ZONE_SPLIT,8,240,239,162,106
ZONE_VORONOI,8,156,155,106,77
WANDERING,9,-1,-1,1999,1028
GREEDY,9,-1,1999,711,119
FRONTIER,9,138,137,107,80
GREEDY_FRONTIER,9,165,164,119,80
FRONTIER_ASSIST,9,138,137,107,80
SCOUT,9,164,163,120,95
FRONTIER_CENTRAL_GREEDY,9,132,131,110,80
ZONE_SPLIT,9,226,225,124,88
ZONE_VORONOI,9,145,144,118,89
WANDERING,10,-1,-1,1999,1584
GREEDY,10,845,844,705,90
FRONTIER,10,110,109,83,68
GREEDY_FRONTIER,10,134,133,111,83
FRONTIER_ASSIST,10,110,109,83,68
SCOUT,10,102,101,84,66
FRONTIER_CENTRAL_GREEDY,10,102,101,85,68
ZONE_SPLIT,10,187,186,123,76
ZONE_VORONOI,10,145,144,115,82
WANDERING,11,-1,-1,1999,645
GREEDY,11,1134,1133,295,147
FRONTIER,11,310,309,282,77
GREEDY_FRONTIER,11,122,121,96,78
FRONTIER_ASSIST,11,373,372,345,77
SCOUT,11,213,212,191,97
FRONTIER_CENTRAL_GREEDY,11,186,185,148,74
ZONE_SPLIT,11,225,224,124,90
ZONE_VORONOI,11,149,148,122,89
WANDERING,12,-1,1999,1311,1076
GREEDY,12,-1,1999,393,80
FRONTIER,12,153,152,114,73
GREEDY_FRONTIER,12,191,190,105,68
FRONTIER_ASSIST,12,153,152,114,73
SCOUT,12,152,151,99,68
FRONTIER_CENTRAL_GREEDY,12,170,169,131,77
ZONE_SPLIT,12,245,244,136,81
ZONE_VORONOI,12,143,142,110,83
WANDERING,13,-1,1999,1310,1035
GREEDY,13,-1,1999,111,82
FRONTIER,13,147,146,116,79
GREEDY_FRONTIER,13,139,138,104,69
FRONTIER_ASSIST,13,147,146,116,79
