Behaviour,Round,total100,total90,total75,total50
WANDERING,0,1029,1028,243,136
GREEDY,0,145,144,64,32
FRONTIER,0,42,41,29,23
GREEDY_FRONTIER,0,50,49,33,24
FRONTIER_ASSIST,0,42,41,29,23
SCOUT,0,72,71,39,26
FRONTIER_CENTRAL_GREEDY,0,51,50,32,24
ZONE_SPLIT,0,138,137,79,49
ZONE_VORONOI,0,56,55,33,23
WANDERING,1,1597,1596,344,149
GREEDY,1,266,265,58,35
FRONTIER,1,140,139,40,26
GREEDY_FRONTIER,1,51,50,41,31
FRONTIER_ASSIST,1,66,65,40,26
SCOUT,1,65,64,42,28
FRONTIER_CENTRAL_GREEDY,1,60,59,39,26
ZONE_SPLIT,1,304,303,181,39
ZONE_VORONOI,1,63,62,35,26
WANDERING,2,897,896,265,163
GREEDY,2,378,377,154,56
FRONTIER,2,46,45,32,23
GREEDY_FRONTIER,2,60,59,44,31
FRONTIER_ASSIST,2,46,45,32,23
SCOUT,2,62,61,44,31
FRONTIER_CENTRAL_GREEDY,2,46,45,33,25
ZONE_SPLIT,2,198,197,168,41
ZONE_VORONOI,2,72,71,39,26
WANDERING,3,816,815,317,207
GREEDY,3,100,99,72,43
FRONTIER,3,58,57,37,23
GREEDY_FRONTIER,3,65,64,44,31
FRONTIER_ASSIST,3,58,57,37,23
SCOUT,3,62,61,40,28
FRONTIER_CENTRAL_GREEDY,3,48,47,39,25
ZONE_SPLIT,3,490,489,449,112
ZONE_VORONOI,3,50,49,36,25
WANDERING,4,918,917,288,137
GREEDY,4,144,143,59,27
FRONTIER,4,40,39,30,24
GREEDY_FRONTIER,4,70,69,52,24
FRONTIER_ASSIST,4,40,39,30,24
SCOUT,4,56,55,41,30
FRONTIER_CENTRAL_GREEDY,4,46,45,35,24
ZONE_SPLIT,4,-1,1999,71,41
ZONE_VORONOI,4,76,75,34,26
WANDERING,5,-1,1999,454,153
GREEDY,5,421,420,130,48
FRONTIER,5,54,53,37,26
GREEDY_FRONTIER,5,57,56,36,28
FRONTIER_ASSIST,5,54,53,37,26
SCOUT,5,61,60,38,28
FRONTIER_CENTRAL_GREEDY,5,60,59,38,27
ZONE_SPLIT,5,-1,1999,78,60
ZONE_VORONOI,5,57,56,34,24
WANDERING,6,372,371,215,132
GREEDY,6,247,246,98,57
FRONTIER,6,54,53,36,25
GREEDY_FRONTIER,6,154,153,39,30
FRONTIER_ASSIST,6,54,53,36,25
SCOUT,6,65,64,45,30
FRONTIER_CENTRAL_GREEDY,6,56,55,39,27
ZONE_SPLIT,6,164,163,90,53
ZONE_VORONOI,6,63,62,43,27
WANDERING,7,1156,1155,333,126
GREEDY,7,259,258,100,60
FRONTIER,7,67,66,44,29
GREEDY_FRONTIER,7,51,50,35,29
FRONTIER_ASSIST,7,67,66,44,29
SCOUT,7,76,75,50,36
FRONTIER_CENTRAL_GREEDY,7,47,46,37,27
ZONE_SPLIT,7,459,458,424,132
ZONE_VORONOI,7,82,81,57,38
WANDERING,8,1034,1033,333,209
GREEDY,8,571,570,84,50
FRONTIER,8,50,49,34,25
GREEDY_FRONTIER,8,61,60,44,33
FRONTIER_ASSIST,8,50,49,34,25
SCOUT,8,60,59,42,32
FRONTIER_CENTRAL_GREEDY,8,53,52,37,26
ZONE_SPLIT,8,158,157,121,65
ZONE_VORONOI,8,63,62,43,28
WANDERING,9,1388,1387,246,142
GREEDY,9,211,210,78,35
FRONTIER,9,41,40,30,23
GREEDY_FRONTIER,9,75,74,55,27
FRONTIER_ASSIST,9,41,40,30,23
SCOUT,9,68,67,41,27
FRONTIER_CENTRAL_GREEDY,9,55,54,31,23
ZONE_SPLIT,9,173,172,138,56
ZONE_VORONOI,9,61,60,35,27
WANDERING,10,1859,1858,316,193
GREEDY,10,115,114,75,52
FRONTIER,10,61,60,39,29
GREEDY_FRONTIER,10,63,62,44,34
FRONTIER_ASSIST,10,61,60,39,29
SCOUT,10,66,65,42,30
FRONTIER_CENTRAL_GREEDY,10,52,51,39,31
ZONE_SPLIT,10,188,187,165,44
ZONE_VORONOI,10,87,86,53,32
WANDERING,11,1048,1047,224,124
GREEDY,11,205,204,62,39
FRONTIER,11,49,48,33,21
GREEDY_FRONTIER,11,52,51,41,30
FRONTIER_ASSIST,11,49,48,33,21
SCOUT,11,48,47,37,27
FRONTIER_CENTRAL_GREEDY,11,41,40,31,22
ZONE_SPLIT,11,134,133,101,51
ZONE_VORONOI,11,50,49,32,23
WANDERING,12,913,912,431,166
GREEDY,12,180,179,131,42
FRONTIER,12,39,38,29,23
GREEDY_FRONTIER,12,59,58,42,28
FRONTIER_ASSIST,12,39,38,29,23
SCOUT,12,49,48,33,25
FRONTIER_CENTRAL_GREEDY,12,41,40,31,24
ZONE_SPLIT,12,356,355,218,51
ZONE_VORONOI,12,70,69,36,26
WANDERING,13,572,571,272,166
GREEDY,13,337,336,163,32
FRONTIER,13,46,45,30,23
GREEDY_FRONTIER,13,57,56,40,27
FRONTIER_ASSIST,13,46,45,30,23
SCOUT,13,55,54,36,27
FRONTIER_CENTRAL_GREEDY,13,55,54,30,24
ZONE_SPLIT,13,-1,1999,115,57
ZONE_VORONOI,13,64,63,36,26
WANDERING,14,1694,1693,338,161
GREEDY,14,218,217,146,53
