Behaviour,Round,total100,total90,total75,total50
WANDERING,0,-1,1999,301,155
GREEDY,0,209,208,173,126
FRONTIER,0,69,68,59,44
GREEDY_FRONTIER,0,75,74,60,51
FRONTIER_ASSIST,0,69,68,59,44
SCOUT,0,108,107,64,50
FRONTIER_CENTRAL_GREEDY,0,79,78,59,46
ZONE_SPLIT,0,147,146,68,51
ZONE_VORONOI,0,80,79,59,45
WANDERING,1,1435,1434,434,181
GREEDY,1,147,146,127,104
FRONTIER,1,70,69,57,44
GREEDY_FRONTIER,1,75,74,60,47
FRONTIER_ASSIST,1,70,69,57,44
SCOUT,1,103,102,64,51
FRONTIER_CENTRAL_GREEDY,1,71,70,57,46
ZONE_SPLIT,1,106,105,65,49
ZONE_VORONOI,1,88,87,68,48
WANDERING,2,-1,1999,447,335
GREEDY,2,444,443,101,63
FRONTIER,2,69,68,59,47
GREEDY_FRONTIER,2,74,73,60,49
FRONTIER_ASSIST,2,69,68,59,47
SCOUT,2,95,94,76,50
FRONTIER_CENTRAL_GREEDY,2,80,79,69,58
ZONE_SPLIT,2,91,90,68,49
ZONE_VORONOI,2,77,76,64,46
WANDERING,3,1182,1181,592,383
GREEDY,3,178,177,98,75
FRONTIER,3,78,77,56,44
GREEDY_FRONTIER,3,76,75,67,55
FRONTIER_ASSIST,3,78,77,56,44
SCOUT,3,105,104,71,57
FRONTIER_CENTRAL_GREEDY,3,79,78,56,47
ZONE_SPLIT,3,164,163,73,52
ZONE_VORONOI,3,91,90,65,47
WANDERING,4,1054,1053,587,233
GREEDY,4,204,203,113,64
FRONTIER,4,94,93,55,45
GREEDY_FRONTIER,4,79,78,57,48
FRONTIER_ASSIST,4,94,93,55,45
SCOUT,4,179,178,75,56
FRONTIER_CENTRAL_GREEDY,4,73,72,64,46
ZONE_SPLIT,4,87,86,63,48
ZONE_VORONOI,4,78,77,54,42
WANDERING,5,1111,1110,365,248
GREEDY,5,408,407,134,87
FRONTIER,5,87,86,61,49
GREEDY_FRONTIER,5,94,93,65,49
FRONTIER_ASSIST,5,87,86,61,49
SCOUT,5,81,80,64,48
FRONTIER_CENTRAL_GREEDY,5,84,83,60,50
ZONE_SPLIT,5,95,94,68,49
ZONE_VORONOI,5,93,92,69,53
WANDERING,6,-1,1999,1013,624
GREEDY,6,293,292,150,55
FRONTIER,6,72,71,62,53
GREEDY_FRONTIER,6,72,71,61,48
FRONTIER_ASSIST,6,72,71,62,53
SCOUT,6,99,98,66,48
FRONTIER_CENTRAL_GREEDY,6,92,91,63,48
ZONE_SPLIT,6,87,86,68,51
ZONE_VORONOI,6,93,92,68,51
WANDERING,7,1952,1951,534,335
GREEDY,7,491,490,127,95
FRONTIER,7,78,77,61,45
GREEDY_FRONTIER,7,73,72,58,48
FRONTIER_ASSIST,7,78,77,61,45
SCOUT,7,79,78,67,49
FRONTIER_CENTRAL_GREEDY,7,66,65,55,45
ZONE_SPLIT,7,94,93,71,50
ZONE_VORONOI,7,81,80,65,48
WANDERING,8,1309,1308,363,263
GREEDY,8,176,175,161,146
FRONTIER,8,74,73,54,44
GREEDY_FRONTIER,8,82,81,65,51
FRONTIER_ASSIST,8,74,73,54,44
SCOUT,8,99,98,79,62
FRONTIER_CENTRAL_GREEDY,8,74,73,55,44
ZONE_SPLIT,8,88,87,71,49
ZONE_VORONOI,8,76,75,57,45
WANDERING,9,907,906,541,372
GREEDY,9,169,168,100,69
FRONTIER,9,81,80,62,48
GREEDY_FRONTIER,9,89,88,61,46
FRONTIER_ASSIST,9,81,80,62,48
SCOUT,9,105,104,72,50
FRONTIER_CENTRAL_GREEDY,9,81,80,73,54
ZONE_SPLIT,9,96,95,72,51
ZONE_VORONOI,9,104,103,74,48
WANDERING,10,1176,1175,386,275
GREEDY,10,154,153,99,70
FRONTIER,10,76,75,60,44
GREEDY_FRONTIER,10,69,68,62,48
FRONTIER_ASSIST,10,76,75,60,44
SCOUT,10,85,84,66,52
FRONTIER_CENTRAL_GREEDY,10,83,82,58,47
ZONE_SPLIT,10,90,89,66,50
ZONE_VORONOI,10,76,75,60,44
WANDERING,11,1786,1785,452,266
GREEDY,11,104,103,88,65
FRONTIER,11,90,89,74,50
GREEDY_FRONTIER,11,80,79,59,50
FRONTIER_ASSIST,11,98,97,76,50
SCOUT,11,90,89,70,58
FRONTIER_CENTRAL_GREEDY,11,71,70,59,45
ZONE_SPLIT,11,119,118,81,62
ZONE_VORONOI,11,80,79,59,44
WANDERING,12,898,897,667,474
GREEDY,12,136,135,110,87
