Behaviour,Round,total100,total90,total75,total50
WANDERING,0,-1,1999,454,270
GREEDY,0,94,93,75,54
FRONTIER,0,74,73,61,46
GREEDY_FRONTIER,0,58,57,51,42
FRONTIER_ASSIST,0,74,73,61,46
SCOUT,0,94,93,63,49
FRONTIER_CENTRAL_GREEDY,0,78,77,54,42
ZONE_SPLIT,0,101,100,62,44
ZONE_VORONOI,0,80,79,62,47
WANDERING,1,1193,1192,360,218
GREEDY,1,229,228,80,58
FRONTIER,1,77,76,51,41
GREEDY_FRONTIER,1,68,67,53,41
FRONTIER_ASSIST,1,77,76,51,41
SCOUT,1,81,80,66,50
FRONTIER_CENTRAL_GREEDY,1,71,70,58,42
ZONE_SPLIT,1,115,114,70,52
ZONE_VORONOI,1,84,83,60,43
WANDERING,2,1061,1060,377,208
GREEDY,2,88,87,62,44
FRONTIER,2,75,74,57,39
GREEDY_FRONTIER,2,72,71,54,40
FRONTIER_ASSIST,2,75,74,57,39
SCOUT,2,80,79,59,48
FRONTIER_CENTRAL_GREEDY,2,69,68,59,43
ZONE_SPLIT,2,84,83,64,49
ZONE_VORONOI,2,78,77,58,41
WANDERING,3,824,823,415,203
GREEDY,3,320,319,94,49
FRONTIER,3,61,60,50,39
GREEDY_FRONTIER,3,78,77,61,44
FRONTIER_ASSIST,3,61,60,50,39
SCOUT,3,82,81,60,48
FRONTIER_CENTRAL_GREEDY,3,70,69,48,39
ZONE_SPLIT,3,90,89,66,47
ZONE_VORONOI,3,81,80,54,40
WANDERING,4,1234,1233,440,254
GREEDY,4,184,183,86,56
FRONTIER,4,74,73,56,43
GREEDY_FRONTIER,4,81,80,65,51
FRONTIER_ASSIST,4,74,73,56,43
SCOUT,4,78,77,62,47
FRONTIER_CENTRAL_GREEDY,4,75,74,55,43
ZONE_SPLIT,4,89,88,65,49
ZONE_VORONOI,4,81,80,57,43
WANDERING,5,1021,1020,391,251
GREEDY,5,96,95,60,44
FRONTIER,5,66,65,57,45
GREEDY_FRONTIER,5,61,60,50,40
FRONTIER_ASSIST,5,66,65,57,45
SCOUT,5,78,77,60,47
FRONTIER_CENTRAL_GREEDY,5,74,73,59,47
ZONE_SPLIT,5,88,87,60,47
ZONE_VORONOI,5,71,70,54,42
WANDERING,6,1388,1387,353,228
GREEDY,6,82,81,61,48
FRONTIER,6,77,76,62,45
GREEDY_FRONTIER,6,68,67,50,41
FRONTIER_ASSIST,6,77,76,62,45
SCOUT,6,73,72,58,44
FRONTIER_CENTRAL_GREEDY,6,68,67,58,46
ZONE_SPLIT,6,153,152,67,50
ZONE_VORONOI,6,78,77,61,45
WANDERING,7,895,894,293,155
GREEDY,7,403,402,119,41
FRONTIER,7,63,62,51,38
GREEDY_FRONTIER,7,73,72,53,39
FRONTIER_ASSIST,7,63,62,51,38
SCOUT,7,75,74,55,42
FRONTIER_CENTRAL_GREEDY,7,76,75,53,40
ZONE_SPLIT,7,136,135,62,48
ZONE_VORONOI,7,66,65,52,40
WANDERING,8,-1,1999,354,172
GREEDY,8,632,631,93,64
FRONTIER,8,63,62,50,40
GREEDY_FRONTIER,8,76,75,64,50
FRONTIER_ASSIST,8,63,62,50,40
SCOUT,8,84,83,72,51
FRONTIER_CENTRAL_GREEDY,8,91,90,54,42
ZONE_SPLIT,8,88,87,64,50
ZONE_VORONOI,8,74,73,56,43
WANDERING,9,1380,1379,386,236
GREEDY,9,347,346,118,77
FRONTIER,9,68,67,55,41
GREEDY_FRONTIER,9,78,77,66,51
FRONTIER_ASSIST,9,68,67,55,41
SCOUT,9,84,83,72,59
FRONTIER_CENTRAL_GREEDY,9,63,62,53,43
ZONE_SPLIT,9,149,148,63,47
ZONE_VORONOI,9,85,84,62,44
WANDERING,10,926,925,459,266
GREEDY,10,176,175,148,99
FRONTIER,10,65,64,51,40
GREEDY_FRONTIER,10,84,83,69,54
FRONTIER_ASSIST,10,65,64,51,40
SCOUT,10,75,74,61,47
FRONTIER_CENTRAL_GREEDY,10,63,62,54,43
ZONE_SPLIT,10,94,93,64,48
ZONE_VORONOI,10,76,75,56,41
WANDERING,11,797,796,289,169
GREEDY,11,165,164,108,68
FRONTIER,11,68,67,54,40
GREEDY_FRONTIER,11,74,73,60,48
FRONTIER_ASSIST,11,68,67,54,40
SCOUT,11,95,94,60,43
FRONTIER_CENTRAL_GREEDY,11,80,79,60,40
ZONE_SPLIT,11,88,87,65,48
ZONE_VORONOI,11,75,74,53,39
WANDERING,12,1024,1023,406,196
GREEDY,12,112,111,65,43
FRONTIER,12,85,84,66,40
GREEDY_FRONTIER,12,68,67,52,40
FRONTIER_ASSIST,12,87,86,67,40
SCOUT,12,74,73,57,45
FRONTIER_CENTRAL_GREEDY,12,79,78,63,40
ZONE_SPLIT,12,127,126,71,47
ZONE_VORONOI,12,72,71,52,39
WANDERING,13,1274,1273,374,210
GREEDY,13,319,318,100,56
FRONTIER,13,80,79,65,43
GREEDY_FRONTIER,13,71,70,60,48
FRONTIER_ASSIST,13,81,80,64,43
SCOUT,13,77,76,59,47
FRONTIER_CENTRAL_GREEDY,13,66,65,57,44
ZONE_SPLIT,13,84,83,63,46
ZONE_VORONOI,13,74,73,55,41
WANDERING,14,1257,1256,326,221
GREEDY,14,187,186,126,44
FRONTIER,14,74,73,60,48
GREEDY_FRONTIER,14,86,85,54,42
FRONTIER_ASSIST,14,74,73,60,48
SCOUT,14,88,87,68,54
FRONTIER_CENTRAL_GREEDY,14,68,67,56,43
ZONE_SPLIT,14,143,142,65,49
ZONE_VORONOI,14,87,86,60,43
WANDERING,15,1293,1292,385,158
GREEDY,15,100,99,68,48
FRONTIER,15,68,67,56,43
GREEDY_FRONTIER,15,66,65,54,44
FRONTIER_ASSIST,15,68,67,56,43
SCOUT,15,93,92,65,49
FRONTIER_CENTRAL_GREEDY,15,70,69,56,41
ZONE_SPLIT,15,115,114,68,47
ZONE_VORONOI,15,76,75,51,40
WANDERING,16,-1,1999,546,237
GREEDY,16,625,624,107,53
FRONTIER,16,67,66,54,41
GREEDY_FRONTIER,16,76,75,63,45
FRONTIER_ASSIST,16,67,66,54,41
SCOUT,16,104,103,60,45
FRONTIER_CENTRAL_GREEDY,16,74,73,56,40
ZONE_SPLIT,16,86,85,68,50
ZONE_VORONOI,16,74,73,54,41
WANDERING,17,889,888,342,176
GREEDY,17,543,542,84,57
FRONTIER,17,71,70,52,40
GREEDY_FRONTIER,17,70,69,55,44
FRONTIER_ASSIST,17,71,70,52,40
SCOUT,17,97,96,66,49
FRONTIER_CENTRAL_GREEDY,17,77,76,61,42
ZONE_SPLIT,17,83,82,68,51
ZONE_VORONOI,17,70,69,55,43
WANDERING,18,1349,1348,295,164
GREEDY,18,113,112,81,56
FRONTIER,18,63,62,49,41
GREEDY_FRONTIER,18,69,68,55,42
FRONTIER_ASSIST,18,63,62,49,41
SCOUT,18,81,80,60,43
FRONTIER_CENTRAL_GREEDY,18,70,69,59,43
ZONE_SPLIT,18,85,84,61,44
ZONE_VORONOI,18,87,86,66,46
WANDERING,19,923,922,406,208
GREEDY,19,155,154,59,46
FRONTIER,19,64,63,52,41
GREEDY_FRONTIER,19,75,74,54,43
FRONTIER_ASSIST,19,64,63,52,41
SCOUT,19,89,88,64,45
FRONTIER_CENTRAL_GREEDY,19,74,73,59,41
ZONE_SPLIT,19,89,88,62,47
ZONE_VORONOI,19,67,66,54,42
