Behaviour,Round,total100,total90,total75,total50
WANDERING,0,1184,1183,422,158
GREEDY,0,414,413,131,43
FRONTIER,0,49,48,33,23
GREEDY_FRONTIER,0,262,261,41,27
FRONTIER_ASSIST,0,49,48,33,23
SCOUT,0,76,75,35,26
FRONTIER_CENTRAL_GREEDY,0,-1,1999,35,26
ZONE_SPLIT,0,233,232,94,44
ZONE_VORONOI,0,69,68,40,25
WANDERING,1,1996,1995,576,219
GREEDY,1,434,433,241,68
FRONTIER,1,89,88,62,27
GREEDY_FRONTIER,1,1079,1078,59,30
FRONTIER_ASSIST,1,79,78,53,27
SCOUT,1,120,119,74,33
FRONTIER_CENTRAL_GREEDY,1,-1,1999,40,27
ZONE_SPLIT,1,-1,1999,83,50
ZONE_VORONOI,1,114,113,59,30
WANDERING,2,1307,1306,604,176
GREEDY,2,609,608,114,44
FRONTIER,2,53,52,30,22
GREEDY_FRONTIER,2,-1,1999,40,23
FRONTIER_ASSIST,2,53,52,30,22
SCOUT,2,65,64,34,24
FRONTIER_CENTRAL_GREEDY,2,-1,1999,29,23
ZONE_SPLIT,2,118,117,94,45
ZONE_VORONOI,2,48,47,35,25
WANDERING,3,1288,1287,505,205
GREEDY,3,718,717,161,34
FRONTIER,3,64,63,36,23
GREEDY_FRONTIER,3,183,182,34,23
FRONTIER_ASSIST,3,64,63,36,23
SCOUT,3,100,99,45,27
FRONTIER_CENTRAL_GREEDY,3,164,163,32,24
ZONE_SPLIT,3,199,198,97,51
ZONE_VORONOI,3,72,71,46,29
WANDERING,4,-1,1999,1186,354
GREEDY,4,533,532,175,87
FRONTIER,4,107,106,79,39
GREEDY_FRONTIER,4,92,91,71,41
FRONTIER_ASSIST,4,91,90,70,39
SCOUT,4,93,92,67,35
FRONTIER_CENTRAL_GREEDY,4,-1,1999,61,35
ZONE_SPLIT,4,174,173,80,55
ZONE_VORONOI,4,116,115,84,38
WANDERING,5,-1,1999,676,273
GREEDY,5,904,903,161,58
FRONTIER,5,64,63,44,25
GREEDY_FRONTIER,5,-1,1999,47,26
FRONTIER_ASSIST,5,63,62,44,25
SCOUT,5,86,85,58,34
FRONTIER_CENTRAL_GREEDY,5,183,182,49,25
ZONE_SPLIT,5,162,161,100,58
ZONE_VORONOI,5,71,70,36,25
WANDERING,6,-1,1999,570,238
GREEDY,6,568,567,137,64
FRONTIER,6,67,66,37,24
GREEDY_FRONTIER,6,62,61,39,27
FRONTIER_ASSIST,6,67,66,37,24
SCOUT,6,58,57,37,24
FRONTIER_CENTRAL_GREEDY,6,149,148,38,27
ZONE_SPLIT,6,264,263,102,60
ZONE_VORONOI,6,59,58,39,25
WANDERING,7,1533,1532,636,217
GREEDY,7,264,263,84,43
FRONTIER,7,-1,1999,30,21
GREEDY_FRONTIER,7,59,58,34,24
FRONTIER_ASSIST,7,-1,1999,30,21
SCOUT,7,67,66,35,22
FRONTIER_CENTRAL_GREEDY,7,-1,1999,31,22
ZONE_SPLIT,7,191,190,111,66
ZONE_VORONOI,7,104,103,37,27
WANDERING,8,1795,1794,692,469
GREEDY,8,439,438,104,75
FRONTIER,8,74,73,60,31
GREEDY_FRONTIER,8,-1,1999,39,27
FRONTIER_ASSIST,8,77,76,60,31
SCOUT,8,69,68,47,28
FRONTIER_CENTRAL_GREEDY,8,-1,1999,47,32
ZONE_SPLIT,8,244,243,111,64
ZONE_VORONOI,8,85,84,54,37
WANDERING,9,1149,1148,597,207
GREEDY,9,241,240,130,100
FRONTIER,9,97,96,36,25
GREEDY_FRONTIER,9,117,116,47,29
FRONTIER_ASSIST,9,128,127,36,25
SCOUT,9,73,72,40,26
FRONTIER_CENTRAL_GREEDY,9,-1,1999,40,26
ZONE_SPLIT,9,-1,1999,107,53
ZONE_VORONOI,9,73,72,40,27
WANDERING,10,1881,1880,443,230
GREEDY,10,1358,1357,346,62
FRONTIER,10,60,59,45,32
GREEDY_FRONTIER,10,118,117,40,28
FRONTIER_ASSIST,10,57,56,46,32
SCOUT,10,57,56,41,28
FRONTIER_CENTRAL_GREEDY,10,63,62,32,25
ZONE_SPLIT,10,-1,1999,91,63
ZONE_VORONOI,10,67,66,42,29
WANDERING,11,-1,1999,586,247
GREEDY,11,-1,1999,102,39
FRONTIER,11,65,64,48,28
GREEDY_FRONTIER,11,67,66,38,25
FRONTIER_ASSIST,11,65,64,48,28
SCOUT,11,86,85,59,35
FRONTIER_CENTRAL_GREEDY,11,62,61,44,32
ZONE_SPLIT,11,271,270,143,93
ZONE_VORONOI,11,121,120,62,29
WANDERING,12,-1,1999,485,217
GREEDY,12,1369,1368,176,68
FRONTIER,12,76,75,50,28
GREEDY_FRONTIER,12,88,87,48,27
FRONTIER_ASSIST,12,75,74,50,28
SCOUT,12,85,84,50,35
FRONTIER_CENTRAL_GREEDY,12,99,98,40,28
ZONE_SPLIT,12,214,213,94,49
ZONE_VORONOI,12,90,89,47,28
WANDERING,13,-1,1999,662,278
GREEDY,13,1797,1796,123,79
FRONTIER,13,76,75,54,39
GREEDY_FRONTIER,13,96,95,55,32
FRONTIER_ASSIST,13,80,79,52,38
SCOUT,13,89,88,65,29
FRONTIER_CENTRAL_GREEDY,13,-1,1999,48,28
ZONE_SPLIT,13,257,256,131,95
ZONE_VORONOI,13,90,89,58,35
WANDERING,14,-1,1999,936,180
GREEDY,14,332,331,140,90
FRONTIER,14,54,53,36,26
GREEDY_FRONTIER,14,-1,1999,45,29
FRONTIER_ASSIST,14,54,53,36,26
SCOUT,14,-1,1999,40,29
FRONTIER_CENTRAL_GREEDY,14,71,70,34,27
ZONE_SPLIT,14,-1,1999,114,46
