Behaviour,Round,total100,total90,total75,total50
WANDERING,0,-1,1999,691,439
GREEDY,0,240,239,199,137
FRONTIER,0,158,157,141,83
GREEDY_FRONTIER,0,126,125,102,81
FRONTIER_ASSIST,0,159,158,141,84
SCOUT,0,108,107,89,69
FRONTIER_CENTRAL_GREEDY,0,109,108,97,67
ZONE_SPLIT,0,143,142,105,80
ZONE_VORONOI,0,131,130,112,88
WANDERING,1,-1,1999,509,258
GREEDY,1,665,664,150,79
FRONTIER,1,107,106,77,63
GREEDY_FRONTIER,1,104,103,86,63
FRONTIER_ASSIST,1,107,106,77,63
SCOUT,1,116,115,102,83
FRONTIER_CENTRAL_GREEDY,1,111,110,76,62
ZONE_SPLIT,1,135,134,107,88
ZONE_VORONOI,1,101,100,83,65
WANDERING,2,1372,1371,618,423
GREEDY,2,230,229,184,123
FRONTIER,2,95,94,76,61
GREEDY_FRONTIER,2,112,111,97,76
FRONTIER_ASSIST,2,95,94,76,61
SCOUT,2,116,115,93,72
FRONTIER_CENTRAL_GREEDY,2,106,105,90,62
ZONE_SPLIT,2,139,138,111,90
ZONE_VORONOI,2,110,109,86,69
WANDERING,3,1309,1308,862,474
GREEDY,3,152,151,122,93
FRONTIER,3,171,170,130,69
GREEDY_FRONTIER,3,109,108,86,62
FRONTIER_ASSIST,3,171,170,130,69
SCOUT,3,140,139,106,71
FRONTIER_CENTRAL_GREEDY,3,112,111,91,63
ZONE_SPLIT,3,139,138,105,78
ZONE_VORONOI,3,126,125,102,62
WANDERING,4,-1,1999,1329,543
GREEDY,4,1123,1122,435,371
FRONTIER,4,153,152,84,68
GREEDY_FRONTIER,4,107,106,92,77
FRONTIER_ASSIST,4,204,203,84,68
SCOUT,4,111,110,90,69
FRONTIER_CENTRAL_GREEDY,4,95,94,85,70
ZONE_SPLIT,4,141,140,109,88
ZONE_VORONOI,4,107,106,85,68
WANDERING,5,-1,1999,517,288
GREEDY,5,379,378,347,254
FRONTIER,5,139,138,106,68
GREEDY_FRONTIER,5,129,128,94,61
FRONTIER_ASSIST,5,113,112,97,68
SCOUT,5,123,122,98,76
FRONTIER_CENTRAL_GREEDY,5,105,104,82,62
ZONE_SPLIT,5,134,133,111,84
ZONE_VORONOI,5,98,97,79,64
WANDERING,6,-1,1999,585,333
GREEDY,6,197,196,120,89
FRONTIER,6,118,117,77,62
GREEDY_FRONTIER,6,107,106,87,66
FRONTIER_ASSIST,6,118,117,77,62
SCOUT,6,146,145,98,77
FRONTIER_CENTRAL_GREEDY,6,96,95,84,66
ZONE_SPLIT,6,141,140,106,78
ZONE_VORONOI,6,111,110,89,68
WANDERING,7,-1,1999,633,437
GREEDY,7,435,434,397,59
FRONTIER,7,104,103,91,69
GREEDY_FRONTIER,7,101,100,74,60
FRONTIER_ASSIST,7,104,103,91,69
SCOUT,7,129,128,89,67
FRONTIER_CENTRAL_GREEDY,7,102,101,91,73
ZONE_SPLIT,7,132,131,92,77
ZONE_VORONOI,7,121,120,97,78
WANDERING,8,-1,1999,884,659
GREEDY,8,205,204,155,118
FRONTIER,8,130,129,91,68
GREEDY_FRONTIER,8,106,105,88,63
FRONTIER_ASSIST,8,130,129,91,68
SCOUT,8,138,137,108,80
FRONTIER_CENTRAL_GREEDY,8,124,123,85,66
ZONE_SPLIT,8,137,136,106,79
ZONE_VORONOI,8,105,104,83,67
