Behaviour,Round,total100,total90,total75,total50
FRONTIER,0,271,270,241,173
FRONTIER,1,296,295,250,197
FRONTIER,2,288,287,241,189
FRONTIER,3,364,363,329,264
FRONTIER,4,322,321,295,194
FRONTIER,5,328,327,287,218
FRONTIER,6,283,282,261,206
FRONTIER,7,358,357,322,254
FRONTIER,8,323,322,222,174
FRONTIER,9,315,314,279,238
FRONTIER,10,257,256,230,186
FRONTIER,11,273,272,220,188
FRONTIER,12,284,283,212,163
FRONTIER,13,283,282,252,197
FRONTIER,14,315,314,267,214
FRONTIER,15,321,320,287,213
FRONTIER,16,331,330,224,183
FRONTIER,17,302,301,243,204
FRONTIER,18,260,259,224,173
FRONTIER,19,280,279,249,194
FRONTIER,20,340,339,226,184
FRONTIER,21,262,261,240,191
FRONTIER,22,276,275,228,175
FRONTIER,23,316,315,272,225
FRONTIER,24,270,269,235,180
FRONTIER,25,295,294,268,230
FRONTIER,26,258,257,214,170
FRONTIER,27,293,292,242,181
FRONTIER,28,306,305,272,211
FRONTIER,29,284,283,260,231
FRONTIER,30,293,292,237,207
FRONTIER,31,330,329,297,237
FRONTIER,32,304,303,275,187
FRONTIER,33,284,283,253,196
FRONTIER,34,313,312,277,182
FRONTIER,35,329,328,301,263
FRONTIER,36,274,273,241,189
FRONTIER,37,269,268,223,178
FRONTIER,38,268,267,232,186
FRONTIER,39,331,330,304,261
FRONTIER,40,346,345,235,200
FRONTIER,41,281,280,254,178
FRONTIER,42,271,270,245,204
FRONTIER,43,286,285,240,170
FRONTIER,44,293,292,249,218
FRONTIER,45,282,281,243,197
FRONTIER,46,288,287,244,184
FRONTIER,47,284,283,222,187
FRONTIER,48,297,296,244,197
FRONTIER,49,328,327,231,189
FRONTIER,50,266,265,239,198
FRONTIER,51,264,263,216,180
FRONTIER,52,295,294,235,197
FRONTIER,53,279,278,236,201
FRONTIER,54,309,308,244,195
FRONTIER,55,319,318,231,190
FRONTIER,56,319,318,246,191
FRONTIER,57,320,319,271,205
FRONTIER,58,306,305,279,187
FRONTIER,59,295,294,235,183
FRONTIER,60,306,305,257,201
FRONTIER,61,338,337,303,199
FRONTIER,62,265,264,218,182
FRONTIER,63,316,315,257,211
FRONTIER,64,334,333,306,203
FRONTIER,65,329,328,301,212
FRONTIER,66,334,333,298,240
FRONTIER,67,309,308,262,218
FRONTIER,68,278,277,226,182
FRONTIER,69,284,283,239,204
FRONTIER,70,344,343,238,187
FRONTIER,71,268,267,241,208
FRONTIER,72,316,315,292,187
FRONTIER,73,300,299,223,183
FRONTIER,74,312,311,263,210
FRONTIER,75,325,324,259,206
FRONTIER,76,298,297,272,239
FRONTIER,77,265,264,219,173
FRONTIER,78,302,301,281,228
FRONTIER,79,278,277,254,221
FRONTIER,80,306,305,265,213
FRONTIER,81,300,299,261,202
FRONTIER,82,294,293,267,189
FRONTIER,83,329,328,302,212
FRONTIER,84,304,303,247,192
FRONTIER,85,342,341,235,196
FRONTIER,86,263,262,236,207
FRONTIER,87,284,283,213,174
FRONTIER,88,270,269,242,174
FRONTIER,89,330,329,287,197
FRONTIER,90,274,273,227,192
FRONTIER,91,312,311,282,194
FRONTIER,92,280,279,252,206
FRONTIER,93,292,291,209,166
FRONTIER,94,256,255,228,174
FRONTIER,95,334,333,266,221
FRONTIER,96,292,291,247,190
FRONTIER,97,346,345,228,181
FRONTIER,98,320,319,246,185
FRONTIER,99,320,319,228,191
FRONTIER,100,273,272,214,181

